Alpha_deg,MeanAbsFyError_pct,MedianAbsFyError_pct,MeanNormalizedShapeError_pct
1,7.26231518580048,6.37575210398095,8.22753555849944
2,5.54296487188695,4.64411928923346,4.23916796490813
4,4.73450764794982,3.73970152621752,2.84211824230738
6,3.5284513413715,4.15523351759011,1.2108875758487
8,3.19337233569416,3.10489213040299,1.41874801527019
9,3.50865502838443,4.18162777589025,0.992330971580017
10,4.17863763146349,4.36230423921498,0.336845773366983
11,4.89663258752451,4.11569835992299,0.71513718572659
12,NaN,NaN,NaN
