Fz_N,Alpha_deg,Measured_Fy_N,MF_Fy_N,Fy_Error_pct,Measured_Normalized,MF_Normalized,Shape_Error_pct
210,1,232.914938556068,202.416932297769,-13.0940533258055,0.368116505904201,0.335127756908824,-8.96149682675804
210,2,356.094060150376,348.66297992753,-2.08683071537549,0.562798170046281,0.577257253401954,2.56914185674836
210,4,518.817184065934,510.658518577857,-1.57255112950166,0.819978186823918,0.845462096153238,3.10787649462109
210,6,600.499064039409,570.599905820759,-4.97905159377368,0.949074450197698,0.944702917682764,-0.460610072689566
210,8,624.898602150538,592.49751689007,-5.18501484064166,0.987637338309672,0.98095728235481,-0.676367295539421
210,9,628.215666131621,597.642929062734,-4.86659895910359,0.992879878827456,0.989476186481168,-0.342810083965752
210,10,628.244505754909,600.838569047727,-4.36230423921498,0.992925459164303,0.994766987245224,0.185464887008829
210,11,627.492751879699,602.810348671924,-3.93349614538773,0.991737330092129,0.998031526802634,0.634663687603638
210,12,NaN,603.999305115271,NaN,NaN,1,NaN
432,1,358.231970695971,371.069386721081,3.58354839188958,0.313157236493761,0.31232045383258,-0.26720847027189
432,2,587.006609808102,656.5047902023,11.8394204141785,0.513146181157259,0.552564779948732,7.68174844497048
432,4,897.402699757869,985.765552025436,9.84651063468036,0.784486512837575,0.829695888689751,5.76292582630254
432,6,1069.02110224801,1113.44142539873,4.15523351759011,0.934510935702101,0.937157695409447,0.283224048668563
432,8,1126.66885232745,1161.65070485906,3.10489213040299,0.984905126008143,0.977734322258248,-0.728070507558301
432,9,1133.74423195084,1173.25683982905,3.48514301239002,0.991090242109597,0.987502935544027,-0.361955593260018
432,10,1142.21808390023,1180.59257627032,3.35964671816915,0.99849786698956,0.993677253923605,-0.482786516158422
432,11,1138.37014357502,1185.22202490399,4.11569835992299,0.995134095866357,0.997573752934314,0.245158625163337
432,12,NaN,1188.10466034989,NaN,NaN,1,NaN
656,1,493.504599395314,482.270886019963,-2.27631381533521,0.304514046633293,0.280663811631836,-7.83222818951879
656,2,821.248795518207,879.739111396104,7.12211892389924,0.506746632802186,0.511975612468993,1.03187260226909
656,4,1269.36357142857,1372.58538948903,8.13177724521384,0.783253161689325,0.798793910997592,1.984128512772
656,6,1503.9499068323,1582.49720351686,5.22273357162553,0.928003249867211,0.92095482002075,-0.75952641841177
656,8,1598.3390430622,1667.55255155376,4.33033959797147,0.986245499011003,0.970453885528762,-1.60118484678269
656,9,1614.87824377457,1689.05892819098,4.59357754693719,0.996450913394528,0.982969800995284,-1.35291284478018
656,10,1611.19950549451,1703.09871169878,5.70377572056567,0.994180970051465,0.991140435524571,-0.305833104684782
656,11,1606.98997382199,1712.30253901687,6.55340524274785,0.991583503836156,0.996496722481921,0.495492172545947
656,12,NaN,1718.32229889541,NaN,NaN,1,NaN
875,1,578.435297619048,541.555696960933,-6.37575210398095,0.278398199909677,0.246530282417198,-11.4468834578735
875,2,998.649163014899,1018.84519473301,2.02233501674808,0.480645165447279,0.463804914261763,-3.50367639084543
875,4,1613.00263083451,1673.32411483776,3.73970152621752,0.776330612468339,0.761740794015173,-1.87933056082613
875,6,1932.06862637363,1991.62562620753,3.08255095191347,0.929895581923193,0.90663994646093,-2.50088675700195
875,8,2067.94361013371,2128.87618827189,2.94652996530428,0.995291575299234,0.969119983172811,-2.6295402046938
875,9,2075.59998746867,2162.39385306104,4.18162777589025,0.998976553855447,0.984378098658997,-1.46134112358381
875,10,2072.71521235521,2182.24090924757,5.28416524563968,0.99758812510285,0.993412996443795,-0.418522289308983
875,11,2060.08365164248,2192.72377303362,6.43857938901601,0.991508614085886,0.998185069536585,0.673363332990688
875,12,NaN,2196.71065011181,NaN,NaN,1,NaN
1096,1,636.888427260813,566.945924256725,-10.9819082919912,0.247980059712851,0.216660523240144,-12.629860848075
1096,2,1143.71169642857,1090.59636092151,-4.64411928923346,0.445317708149371,0.416775512604365,-6.40940052970727
1096,4,1869.97997084548,1877.12325140191,0.381997704135705,0.728098870985136,0.717349730255432,-1.47632981701515
1096,6,2319.15053019146,2314.44991188759,-0.202687071954722,0.902988753357353,0.884475762975243,-2.05019058247163
1096,8,2510.62404881551,2520.66868266028,0.400085144150404,0.977541237826312,0.963283043997903,-1.45857722177676
1096,9,2561.21098954704,2571.87402413234,0.416327847601121,0.997237862927899,0.98285135836681,-1.44263521231033
1096,10,2545.44263392857,2601.01718708684,2.18329623372796,0.991098266727889,0.993988528005823,0.291622069673899
1096,11,2527.36568681319,2614.3572043339,3.44198380054796,0.984059793059308,0.999086465909814,1.52700811032934
1096,12,NaN,2616.37529159907,NaN,NaN,0.999857685569587,NaN
