Axis,Band,N,MedianFz_N,MedianP_psi,MedianIA_deg,R2,RMSE_N,MAE_N,MeanResidual_N
LOAD,150-300 N,21236,210.99,12.0627886473161,1.987,0.994563334595999,38.9862716015716,30.8437158521017,-1.98214285635779
LOAD,300-450 N,17295,431.8,12.0482848735427,1.981,0.997430266837224,49.0755695718063,38.5945125739545,1.30948022413359
LOAD,450-600 N,3963,456.68,12.0772924210894,2.005,0.995776407930058,56.9518092298829,45.778051531395,-6.01639350550888
LOAD,600-750 N,21220,661.385,12.0555367604294,1.987,0.996905540330869,76.1424195529674,60.4063677478114,-0.368440936420688
LOAD,750-900 N,18520,873.54,12.0555367604294,1.988,0.997714496112302,84.2209663134488,66.8765888066279,1.68610234926918
LOAD,900-1050 N,4362,913.835,10.1555423961172,0.016,0.996468085652913,99.5965671768795,80.3245060027344,-8.03177758159975
LOAD,1050-1200 N,25852,1102.41,12.0482848735427,0.013,0.996932977793723,115.859950724583,92.7257727457252,1.71895606509583
PRESSURE,0.0-9.0 psi,20000,669.16,8.10035765242999,1.989,0.997649750221557,74.1086779492969,59.1220150800316,-4.57225575800311
PRESSURE,9.0-11.0 psi,19987,670.95,10.1033288105331,1.989,0.997519082369802,78.2166066554146,55.7261736685964,7.20488728216165
PRESSURE,11.0-13.0 psi,52474,666.015,12.0990480817495,0.016,0.99650231825977,86.0888437994826,64.3846258930909,1.35621217953295
PRESSURE,13.0-15.0 psi,19987,669.98,14.0947673529659,1.991,0.997325766410386,74.338177089645,54.8881367741782,-6.71441438531707
CAMBER,-1.0-1.0 deg,49977,673.3,12.0700405342027,-0.002,0.996916153115623,86.1035470442519,65.2473171895829,2.76848196522244
CAMBER,1.0-3.0 deg,31235,662.87,12.0337810997693,1.992,0.997573039573263,71.8727594858932,54.0460550050905,-4.44347587293146
CAMBER,3.0-5.0 deg,31236,668.115,12.0337810997693,3.992,0.996772015697892,79.9377905286148,58.3561814658287,-0.321571575967669
