Parameter,BaseValue,Perturbation_pct,PredictionChangeMinus_N,PredictionChangePlus_N,ReferencePeakMuChangeMinus,ReferencePeakMuChangePlus
PCY1,1.66991930024369,5,9.5030148687097,8.56082797385401,-6.12993047433008e-08,-5.99039138293733e-08
PDY1,2.4260512241833,5,62.8988757970647,60.6268101836231,-0.121302575227821,0.12130251966358
PDY2,-0.503692308289416,5,3.42921943541433,3.43013395207292,0,0
PKY1,37.343314175556,5,25.4591549641666,23.6680025043182,-7.75614523718104e-08,-1.09815517568279e-07
