Run,N,R2,RMSE_N,MAE_N,MeanResidual_N,MedianFz_N,MedianP_psi,MedianIA_deg
2,59958,0.997279429209132,78.840011886158,56.7076666242014,3.31714200431121,670.555,12.0917961948628,1.989
4,52490,0.996782909828341,82.6760908841881,64.2356469438094,-3.98867128513068,665.43,12.0250788355053,0.016
