Check,Pass,Details
PRIMARY_DATABASE_NONEMPTY,1,42084 samples
PRIMARY_CHANNELS_FINITE,1,PASS
POSITIVE_LOADED_FZ,1,FZ 158.3 → 1179.4 N
RUN_ROUTING,1,Runs 2 + 4 only
PRIMARY_VALIDATION_ISOLATION,1,PASS
UNIQUE_PRIMARY_SAMPLE_IDS,1,PASS
CONDITION_ID_ASSIGNMENT,1,60 conditions
SWEEP_ID_ASSIGNMENT,1,80 sweeps
CANONICAL_BUILD_SAMPLE_PRESERVATION,1,42084 → 42084 samples
EXPECTED_PRIMARY_SWEEP_COUNT,1,80 / 80
