SampleID,SweepID,OriginalFullSweepID,Stage2RegionID,RunNumber,ET_s,SA_deg,FY_N,FZ_N,IA_deg,P_kPa,P_psi,V_kph,V_mph,FZ_State_N,Pressure_State_psi,IA_State_deg,Speed_State_mph,ConditionID,Routing,ModelName
30,1,1,1,2,282.2,9.325,-2599,1097.23,-0.006,84.48,12.2527880837473,40.3,25.0412590471646,1100,12,-0,25,35,PRIMARY_MODEL_FIT,CMM_7IN_LATERAL_MODEL
31,1,1,1,2,282.21,9.285,-2588.74,1097.15,0.006,84.13,12.2020248755405,40.27,25.0226179113974,1100,12,0,25,35,PRIMARY_MODEL_FIT,CMM_7IN_LATERAL_MODEL
32,1,1,1,2,282.22,9.246,-2585.22,1095.63,-0.015,83.62,12.1280556292962,40.3,25.0412590471646,1100,12,-0,25,35,PRIMARY_MODEL_FIT,CMM_7IN_LATERAL_MODEL
33,1,1,1,2,282.23,9.201,-2590.14,1104.59,-0.009,83.52,12.1135518555229,40.29,25.0350453352422,1100,12,-0,25,35,PRIMARY_MODEL_FIT,CMM_7IN_LATERAL_MODEL
34,1,1,1,2,282.24,9.171,-2599.98,1113.14,0.016,83.88,12.165765441107,40.31,25.0474727590869,1100,12,0,25,35,PRIMARY_MODEL_FIT,CMM_7IN_LATERAL_MODEL
35,1,1,1,2,282.25,9.114,-2607.59,1118.39,0.015,84.28,12.2237805362005,40.32,25.0536864710093,1100,12,0,25,35,PRIMARY_MODEL_FIT,CMM_7IN_LATERAL_MODEL
36,1,1,1,2,282.26,9.07,-2609.66,1120.29,0.017,84.43,12.2455361968606,40.31,25.0474727590869,1100,12,0,25,35,PRIMARY_MODEL_FIT,CMM_7IN_LATERAL_MODEL
37,1,1,1,2,282.27,9.038,-2607.44,1115.39,-0,83.93,12.1730173279937,40.31,25.0474727590869,1100,12,-0,25,35,PRIMARY_MODEL_FIT,CMM_7IN_LATERAL_MODEL
38,1,1,1,2,282.28,9.009,-2604.52,1109.99,-0.016,83.27,12.0772924210894,40.31,25.0474727590869,1100,12,-0,25,35,PRIMARY_MODEL_FIT,CMM_7IN_LATERAL_MODEL
39,1,1,1,2,282.29,8.977,-2603.19,1105.47,0.001,83.12,12.0555367604294,40.3,25.0412590471646,1100,12,0,25,35,PRIMARY_MODEL_FIT,CMM_7IN_LATERAL_MODEL
40,1,1,1,2,282.3,8.915,-2596.9,1100.41,-0.009,83.47,12.1062999686362,40.3,25.0412590471646,1100,12,-0,25,35,PRIMARY_MODEL_FIT,CMM_7IN_LATERAL_MODEL
41,1,1,1,2,282.31,8.883,-2586.69,1098.19,0.015,83.83,12.1585135542203,40.27,25.0226179113974,1100,12,0,25,35,PRIMARY_MODEL_FIT,CMM_7IN_LATERAL_MODEL
42,1,1,1,2,282.32,8.841,-2572.85,1094.07,-0,83.88,12.165765441107,40.26,25.0164041994751,1100,12,-0,25,35,PRIMARY_MODEL_FIT,CMM_7IN_LATERAL_MODEL
43,1,1,1,2,282.33,8.813,-2564.61,1098.49,-0,83.42,12.0990480817495,40.25,25.0101904875527,1100,12,-0,25,35,PRIMARY_MODEL_FIT,CMM_7IN_LATERAL_MODEL
44,1,1,1,2,282.34,8.778,-2568.1,1104.08,-0.006,82.81,12.0105750617319,40.25,25.0101904875527,1100,12,-0,25,35,PRIMARY_MODEL_FIT,CMM_7IN_LATERAL_MODEL
45,1,1,1,2,282.35,8.712,-2577.85,1114.02,-0,82.71,11.9960712879585,40.25,25.0101904875527,1100,12,-0,25,35,PRIMARY_MODEL_FIT,CMM_7IN_LATERAL_MODEL
46,1,1,1,2,282.36,8.692,-2586.73,1116.44,-0.022,83.12,12.0555367604294,40.25,25.0101904875527,1100,12,-0,25,35,PRIMARY_MODEL_FIT,CMM_7IN_LATERAL_MODEL
47,1,1,1,2,282.37,8.652,-2589.57,1116.46,0.001,83.52,12.1135518555229,40.25,25.0101904875527,1100,12,0,25,35,PRIMARY_MODEL_FIT,CMM_7IN_LATERAL_MODEL
48,1,1,1,2,282.38,8.614,-2589.55,1113.84,0.006,83.57,12.1208037424096,40.24,25.0039767756303,1100,12,0,25,35,PRIMARY_MODEL_FIT,CMM_7IN_LATERAL_MODEL
49,1,1,1,2,282.39,8.563,-2585.35,1111.22,0.006,83.17,12.0627886473161,40.24,25.0039767756303,1100,12,0,25,35,PRIMARY_MODEL_FIT,CMM_7IN_LATERAL_MODEL
50,1,1,1,2,282.4,8.534,-2581.2,1109.32,0.009,82.61,11.9815675141852,40.23,24.9977630637079,1100,12,0,25,35,PRIMARY_MODEL_FIT,CMM_7IN_LATERAL_MODEL
51,1,1,1,2,282.41,8.469,-2572.84,1107.91,-0,82.46,11.9598118535251,40.23,24.9977630637079,1100,12,-0,25,35,PRIMARY_MODEL_FIT,CMM_7IN_LATERAL_MODEL
52,1,1,1,2,282.42,8.439,-2561.15,1101.52,0.007,83.02,12.041032986656,40.23,24.9977630637079,1100,12,0,25,35,PRIMARY_MODEL_FIT,CMM_7IN_LATERAL_MODEL
53,1,1,1,2,282.43,8.395,-2548.68,1100.2,-0.003,83.42,12.0990480817495,40.24,25.0039767756303,1100,12,-0,25,35,PRIMARY_MODEL_FIT,CMM_7IN_LATERAL_MODEL
54,1,1,1,2,282.44,8.376,-2537.62,1097.31,-0.012,83.52,12.1135518555229,40.25,25.0101904875527,1100,12,-0,25,35,PRIMARY_MODEL_FIT,CMM_7IN_LATERAL_MODEL
55,1,1,1,2,282.45,8.325,-2536.98,1101.35,-0.015,83.02,12.041032986656,40.25,25.0101904875527,1100,12,-0,25,35,PRIMARY_MODEL_FIT,CMM_7IN_LATERAL_MODEL
56,1,1,1,2,282.46,8.278,-2544.68,1110.6,-0.009,82.46,11.9598118535251,40.25,25.0101904875527,1100,12,-0,25,35,PRIMARY_MODEL_FIT,CMM_7IN_LATERAL_MODEL
57,1,1,1,2,282.47,8.25,-2554.46,1119.52,0.003,82.46,11.9598118535251,40.25,25.0101904875527,1100,12,0,25,35,PRIMARY_MODEL_FIT,CMM_7IN_LATERAL_MODEL
58,1,1,1,2,282.48,8.206,-2560.64,1122.49,-0.006,82.97,12.0337810997693,40.24,25.0039767756303,1100,12,-0,25,35,PRIMARY_MODEL_FIT,CMM_7IN_LATERAL_MODEL
59,1,1,1,2,282.49,8.187,-2560.64,1120.2,-0,83.32,12.0845443079761,40.23,24.9977630637079,1100,12,-0,25,35,PRIMARY_MODEL_FIT,CMM_7IN_LATERAL_MODEL
60,1,1,1,2,282.5,8.123,-2555.04,1115.92,0.003,83.42,12.0990480817495,40.24,25.0039767756303,1100,12,0,25,35,PRIMARY_MODEL_FIT,CMM_7IN_LATERAL_MODEL
61,1,1,1,2,282.51,8.069,-2549.47,1111.99,0.006,83.07,12.0482848735427,40.21,24.9853356398632,1100,12,0,25,35,PRIMARY_MODEL_FIT,CMM_7IN_LATERAL_MODEL
62,1,1,1,2,282.52,8.056,-2538.92,1105.18,-0.019,82.46,11.9598118535251,40.23,24.9977630637079,1100,12,-0,25,35,PRIMARY_MODEL_FIT,CMM_7IN_LATERAL_MODEL
63,1,1,1,2,282.53,8.009,-2528.04,1101.62,0.01,82.51,11.9670637404118,40.24,25.0039767756303,1100,12,0,25,35,PRIMARY_MODEL_FIT,CMM_7IN_LATERAL_MODEL
64,1,1,1,2,282.54,7.956,-2512.76,1099.73,-0.01,82.86,12.0178269486186,40.25,25.0101904875527,1100,12,-0,25,35,PRIMARY_MODEL_FIT,CMM_7IN_LATERAL_MODEL
65,1,1,1,2,282.55,7.925,-2501.13,1099.85,-0.003,83.37,12.0917961948628,40.26,25.0164041994751,1100,12,-0,25,35,PRIMARY_MODEL_FIT,CMM_7IN_LATERAL_MODEL
66,1,1,1,2,282.56,7.895,-2497.09,1107.35,0.001,83.32,12.0845443079761,40.3,25.0412590471646,1100,12,0,25,35,PRIMARY_MODEL_FIT,CMM_7IN_LATERAL_MODEL
67,1,1,1,2,282.57,7.855,-2503.35,1115.8,-0.006,82.97,12.0337810997693,40.33,25.0599001829317,1100,12,-0,25,35,PRIMARY_MODEL_FIT,CMM_7IN_LATERAL_MODEL
68,1,1,1,2,282.58,7.817,-2514.48,1124.14,0.003,82.41,11.9525599666384,40.31,25.0474727590869,1100,12,0,25,35,PRIMARY_MODEL_FIT,CMM_7IN_LATERAL_MODEL
69,1,1,1,2,282.59,7.754,-2526.27,1126.61,0.012,82.26,11.9308043059783,40.34,25.0661138948541,1150,12,0,25,35,PRIMARY_MODEL_FIT,CMM_7IN_LATERAL_MODEL
70,1,1,1,2,282.6,7.712,-2529.6,1121.13,-0.003,82.71,11.9960712879585,40.32,25.0536864710093,1100,12,-0,25,35,PRIMARY_MODEL_FIT,CMM_7IN_LATERAL_MODEL
71,1,1,1,2,282.61,7.68,-2526.75,1114.25,-0.007,83.22,12.0700405342027,40.33,25.0599001829317,1100,12,-0,25,35,PRIMARY_MODEL_FIT,CMM_7IN_LATERAL_MODEL
72,1,1,1,2,282.62,7.643,-2519.84,1109.89,0.006,83.27,12.0772924210894,40.31,25.0474727590869,1100,12,0,25,35,PRIMARY_MODEL_FIT,CMM_7IN_LATERAL_MODEL
73,1,1,1,2,282.63,7.599,-2510.79,1106.87,-0.003,82.86,12.0178269486186,40.32,25.0536864710093,1100,12,-0,25,35,PRIMARY_MODEL_FIT,CMM_7IN_LATERAL_MODEL
74,1,1,1,2,282.64,7.557,-2494.87,1104.22,-0.007,82.31,11.938056192865,40.29,25.0350453352422,1100,12,-0,25,35,PRIMARY_MODEL_FIT,CMM_7IN_LATERAL_MODEL
75,1,1,1,2,282.65,7.5,-2479.76,1101.73,0.001,82.21,11.9235524190917,40.28,25.0288316233198,1100,12,0,25,35,PRIMARY_MODEL_FIT,CMM_7IN_LATERAL_MODEL
76,1,1,1,2,282.66,7.475,-2463.84,1104.03,-0.013,82.66,11.9888194010718,40.27,25.0226179113974,1100,12,-0,25,35,PRIMARY_MODEL_FIT,CMM_7IN_LATERAL_MODEL
77,1,1,1,2,282.67,7.44,-2456.44,1108.71,0.006,83.17,12.0627886473161,40.3,25.0412590471646,1100,12,0,25,35,PRIMARY_MODEL_FIT,CMM_7IN_LATERAL_MODEL
78,1,1,1,2,282.68,7.395,-2456.5,1115.8,0.006,83.17,12.0627886473161,40.27,25.0226179113974,1100,12,0,25,35,PRIMARY_MODEL_FIT,CMM_7IN_LATERAL_MODEL
79,1,1,1,2,282.69,7.374,-2467.53,1122.86,-0.012,82.91,12.0250788355053,40.29,25.0350453352422,1100,12,-0,25,35,PRIMARY_MODEL_FIT,CMM_7IN_LATERAL_MODEL
80,1,1,1,2,282.7,7.335,-2477.86,1124.6,-0.016,82.36,11.9453080797517,40.28,25.0288316233198,1100,12,-0,25,35,PRIMARY_MODEL_FIT,CMM_7IN_LATERAL_MODEL
81,1,1,1,2,282.71,7.269,-2483.36,1123.79,-0.01,82.26,11.9308043059783,40.29,25.0350453352422,1100,12,-0,25,35,PRIMARY_MODEL_FIT,CMM_7IN_LATERAL_MODEL
82,1,1,1,2,282.72,7.237,-2481.31,1117.87,0.004,82.81,12.0105750617319,40.29,25.0350453352422,1100,12,0,25,35,PRIMARY_MODEL_FIT,CMM_7IN_LATERAL_MODEL
83,1,1,1,2,282.73,7.194,-2473.65,1114.44,0.001,83.22,12.0700405342027,40.3,25.0412590471646,1100,12,0,25,35,PRIMARY_MODEL_FIT,CMM_7IN_LATERAL_MODEL
84,1,1,1,2,282.74,7.186,-2462.57,1111.73,0.003,83.27,12.0772924210894,40.3,25.0412590471646,1100,12,0,25,35,PRIMARY_MODEL_FIT,CMM_7IN_LATERAL_MODEL
85,1,1,1,2,282.75,7.117,-2449.49,1110.42,0.012,83.02,12.041032986656,40.28,25.0288316233198,1100,12,0,25,35,PRIMARY_MODEL_FIT,CMM_7IN_LATERAL_MODEL
86,1,1,1,2,282.76,7.08,-2431.47,1106.68,-0,82.61,11.9815675141852,40.29,25.0350453352422,1100,12,-0,25,35,PRIMARY_MODEL_FIT,CMM_7IN_LATERAL_MODEL
87,1,1,1,2,282.77,7.044,-2416.27,1101.54,-0.009,82.71,11.9960712879585,40.26,25.0164041994751,1100,12,-0,25,35,PRIMARY_MODEL_FIT,CMM_7IN_LATERAL_MODEL
88,1,1,1,2,282.78,7.014,-2403.95,1105.05,0.003,83.42,12.0990480817495,40.26,25.0164041994751,1100,12,0,25,35,PRIMARY_MODEL_FIT,CMM_7IN_LATERAL_MODEL
89,1,1,1,2,282.79,6.972,-2403.29,1113.2,-0.009,83.83,12.1585135542203,40.25,25.0101904875527,1100,12,-0,25,35,PRIMARY_MODEL_FIT,CMM_7IN_LATERAL_MODEL
90,1,1,1,2,282.8,6.909,-2411.74,1123.32,0.003,83.77,12.1498112899563,40.25,25.0101904875527,1100,12,0,25,35,PRIMARY_MODEL_FIT,CMM_7IN_LATERAL_MODEL
91,1,1,1,2,282.81,6.889,-2421.52,1130.48,0.019,83.27,12.0772924210894,40.24,25.0039767756303,1150,12,0,25,35,PRIMARY_MODEL_FIT,CMM_7IN_LATERAL_MODEL
92,1,1,1,2,282.82,6.839,-2427.66,1131.8,0.009,83.02,12.041032986656,40.21,24.9853356398632,1150,12,0,25,35,PRIMARY_MODEL_FIT,CMM_7IN_LATERAL_MODEL
93,1,1,1,2,282.83,6.817,-2426.84,1124.61,-0.004,83.27,12.0772924210894,40.21,24.9853356398632,1100,12,-0,25,35,PRIMARY_MODEL_FIT,CMM_7IN_LATERAL_MODEL
94,1,1,1,2,282.84,6.776,-2420.52,1117.14,-0.009,83.72,12.1425594030696,40.2,24.9791219279408,1100,12,-0,25,35,PRIMARY_MODEL_FIT,CMM_7IN_LATERAL_MODEL
95,1,1,1,2,282.85,6.712,-2409.39,1111.49,-0.009,83.98,12.1802692148804,40.18,24.9666945040961,1100,12,-0,25,35,PRIMARY_MODEL_FIT,CMM_7IN_LATERAL_MODEL
96,1,1,1,2,282.86,6.677,-2396.35,1107.61,0.012,83.88,12.165765441107,40.18,24.9666945040961,1100,12,0,25,35,PRIMARY_MODEL_FIT,CMM_7IN_LATERAL_MODEL
97,1,1,1,2,282.87,6.65,-2378.42,1103.33,0.013,83.22,12.0700405342027,40.18,24.9666945040961,1100,12,0,25,35,PRIMARY_MODEL_FIT,CMM_7IN_LATERAL_MODEL
98,1,1,1,2,282.88,6.63,-2360.38,1105.46,-0.009,82.86,12.0178269486186,40.17,24.9604807921737,1100,12,-0,25,35,PRIMARY_MODEL_FIT,CMM_7IN_LATERAL_MODEL
99,1,1,1,2,282.89,6.568,-2348.75,1109.46,-0.009,82.97,12.0337810997693,40.17,24.9604807921737,1100,12,-0,25,35,PRIMARY_MODEL_FIT,CMM_7IN_LATERAL_MODEL
100,1,1,1,2,282.9,6.538,-2345.44,1119.07,-0,83.52,12.1135518555229,40.19,24.9729082160184,1100,12,-0,25,35,PRIMARY_MODEL_FIT,CMM_7IN_LATERAL_MODEL
