SweepID,OriginalFullSweepID,Stage2RegionID,RunNumber,ConditionID,SampleCount,ET_Start_s,ET_End_s,SA_Min_deg,SA_Max_deg,FZ_Mean_N,FZ_Median_N,FZ_Std_N,Pressure_Mean_psi,IA_Mean_deg,Speed_Mean_mph,Routing
35,35,35,2,48,525,1563.648,1568.887,-10.444,10.442,649.047104761905,649.71,16.7398518762336,14.1059449279539,-0.00469333333333334,24.9946502899259,PRIMARY_MODEL_FIT
36,36,36,2,46,526,1597.425,1602.675,-10.476,10.486,209.329410646388,209.17,15.902468063453,14.0842066203515,-5.13307984790875e-05,24.992636160715,PRIMARY_MODEL_FIT
37,37,37,2,50,527,1631.243,1636.502,-10.49,10.49,1083.93721062619,1081.01,24.0761645537459,14.1017137523974,-0.00178937381404175,24.9943437535419,PRIMARY_MODEL_FIT
38,38,38,2,47,526,1665.03,1670.28,-10.497,10.476,428.457186311787,428.58,16.7436584746494,14.0901046378612,-0.00126996197718631,24.9947152734495,PRIMARY_MODEL_FIT
39,39,39,2,54,526,1698.838,1704.088,-10.485,10.472,870.626254752852,871.2,17.1685726018356,14.1026892811125,1.99393536121673,24.9933567622877,PRIMARY_MODEL_FIT
40,40,40,2,53,526,1732.635,1737.885,-10.483,10.466,659.623840304183,660.425,18.3504435364892,14.1131810794409,1.99303422053232,24.9970897146974,PRIMARY_MODEL_FIT
41,41,41,2,51,526,1766.413,1771.663,-10.479,10.486,211.675817490494,211.685,18.9353520217497,14.1027278843126,1.99573384030418,24.994089177001,PRIMARY_MODEL_FIT
42,42,42,2,55,526,1800.23,1805.48,-10.471,10.499,1095.77268060836,1098.24,20.2764842505439,14.0900853362611,1.99313498098859,24.9938292879092,PRIMARY_MODEL_FIT
43,43,43,2,52,526,1834.018,1839.268,-10.47,10.491,436.993288973384,437.535,19.9844816276018,14.11576473648,1.99267300380228,24.9911358918668,PRIMARY_MODEL_FIT
44,44,44,2,59,526,1867.826,1873.075,-10.495,10.471,878.750209125475,879.08,16.8547000920894,14.0850090154404,3.99188403041825,24.9942663741091,PRIMARY_MODEL_FIT
45,45,45,2,58,526,1901.613,1906.863,-10.466,10.492,668.832585551331,669.235,18.3060615557564,14.0969429190319,3.98862547528517,24.9938765404713,PRIMARY_MODEL_FIT
46,46,46,2,56,526,1935.401,1940.65,-10.466,10.461,217.75108365019,217.045,18.7669466924377,14.1010403729915,3.99256273764259,24.9925652818718,PRIMARY_MODEL_FIT
47,47,47,2,60,526,1969.218,1974.468,-10.461,10.458,1106.31435361217,1106.045,17.1402923423548,14.0874410170503,3.99210266159696,24.9941836821253,PRIMARY_MODEL_FIT
48,48,48,2,57,526,2003.006,2008.255,-10.467,10.486,443.993117870722,444.72,19.7664941172919,14.1073602683315,3.98905703422053,24.9960855977517,PRIMARY_MODEL_FIT
49,49,49,4,5,527,112.61,117.87,-10.494,10.494,1084.29400379507,1075.96,40.4429230545209,8.10033838745533,-0.00198102466793169,24.9865972474072,PRIMARY_MODEL_FIT
50,50,50,4,4,526,146.42,151.67,-10.48,10.479,869.325475285171,864.22,26.72849802244,8.10267108706798,-0.000925855513307985,24.9898482595483,PRIMARY_MODEL_FIT
51,51,51,4,3,526,180.22,185.47,-10.484,10.471,647.314600760456,645.215,17.9062429691121,8.10157365323494,-0.00234030418250951,24.9882771118569,PRIMARY_MODEL_FIT
52,52,52,4,1,526,214,219.25,-10.494,10.467,204.059125475285,204.88,15.9264713215941,8.10620052251093,-0.000361216730038022,24.9863751962305,PRIMARY_MODEL_FIT
53,53,53,4,5,526,247.82,253.07,-10.479,10.461,1087.07828897338,1077.76,44.3032963378589,8.10002952522865,0.00226996197718631,24.9877455205327,PRIMARY_MODEL_FIT
54,54,54,4,2,526,281.61,286.86,-10.474,10.489,425.416711026616,425.31,14.335835684783,8.09656902407169,0.00246958174904943,24.9885842535108,PRIMARY_MODEL_FIT
55,55,55,4,9,526,315.41,320.66,-10.457,10.489,868.869239543726,864.09,22.112689573693,8.10159019746358,1.9946102661597,24.9863633830899,PRIMARY_MODEL_FIT
56,56,56,4,8,525,349.22,354.46,-10.468,10.439,659.33220952381,658.67,14.5934752123273,8.10940800726457,1.99247619047619,24.9889455105991,PRIMARY_MODEL_FIT
57,57,57,4,6,526,383,388.25,-10.478,10.488,211.230608365019,211.585,17.3418790548486,8.10459573233297,1.99397718631179,24.9887260111973,PRIMARY_MODEL_FIT
58,58,58,4,10,526,416.81,422.06,-10.472,10.499,1092.90057034221,1082.205,38.6283172723475,8.11169872116191,1.99308745247148,24.9891985368187,PRIMARY_MODEL_FIT
59,59,59,4,7,526,450.61,455.86,-10.485,10.49,436.140285171103,438.305,14.7431459883163,8.10848086869165,1.99021482889734,24.9887614506189,PRIMARY_MODEL_FIT
60,60,60,4,14,525,484.41,489.65,-10.459,10.464,876.663847619048,872.14,20.3631478911735,8.10081072269643,3.99254476190476,24.9899988827154,PRIMARY_MODEL_FIT
61,61,61,4,13,526,518.199,523.449,-10.463,10.49,667.303783269962,667.615,13.3923508211497,8.10623085359677,3.99197718631179,24.9912776495532,PRIMARY_MODEL_FIT
62,62,62,4,11,526,551.998,557.248,-10.477,10.49,216.718288973384,217.53,15.677842627344,8.10816377097607,3.99107414448669,24.9939828587362,PRIMARY_MODEL_FIT
63,63,63,4,15,525,585.808,591.048,-10.453,10.465,1099.84666666667,1087.66,36.3601386751807,8.09030446523735,3.9926780952381,24.990993076623,PRIMARY_MODEL_FIT
64,64,64,4,12,527,619.597,624.857,-10.482,10.497,443.380910815939,443.15,14.1064348342015,8.1065086836223,3.99266034155598,24.9877645291535,PRIMARY_MODEL_FIT
65,65,65,4,35,526,724.804,730.054,-10.493,10.488,1084.38159695817,1081.315,28.520891499409,12.0894579438819,-0.00174334600760456,24.9909586947587,PRIMARY_MODEL_FIT
66,66,66,4,34,526,758.603,763.853,-10.496,10.484,869.575456273764,868.76,21.4336908645509,12.0900176902841,-0.00192585551330798,24.989930951532,PRIMARY_MODEL_FIT
67,67,67,4,33,526,792.403,797.652,-10.485,10.467,647.729201520913,647.205,17.2124805696685,12.0978706841447,-0.0011787072243346,24.9914902860829,PRIMARY_MODEL_FIT
68,68,68,4,31,526,826.182,831.432,-10.463,10.474,204.980760456274,206.385,14.6790221223426,12.1035867151394,-0.000785171102661597,24.9896356230186,PRIMARY_MODEL_FIT
69,69,69,4,35,527,860.001,865.261,-10.5,10.482,1083.97719165085,1080.24,27.8090422845267,12.093769478695,-0.00174573055028463,24.98933269554,PRIMARY_MODEL_FIT
70,70,70,4,32,526,893.79,899.04,-10.496,10.48,427.872946768061,428.71,16.1587625252566,12.0987089250624,-0.00572243346007605,24.9891749105377,PRIMARY_MODEL_FIT
71,71,71,4,39,525,927.599,932.839,-10.454,10.469,866.578857142857,865.91,16.8768998542797,12.087105260031,1.99308190476191,24.9920819556646,PRIMARY_MODEL_FIT
72,72,72,4,38,526,961.398,966.648,-10.489,10.494,658.880513307985,660.465,15.8112509165321,12.0943963961305,1.99198288973384,24.9924944030285,PRIMARY_MODEL_FIT
73,73,73,4,36,525,995.188,1000.427,-10.46,10.466,210.585542857143,210.93,18.9623748779523,12.0997000609134,1.99283238095238,24.9897148273133,PRIMARY_MODEL_FIT
74,74,74,4,40,526,1028.996,1034.246,-10.49,10.487,1095.14701520913,1093.17,23.2509168447542,12.0880020517616,1.99428707224335,24.9906633662453,PRIMARY_MODEL_FIT
75,75,75,4,37,527,1062.784,1068.044,-10.493,10.487,435.735654648956,437.35,17.9294985366028,12.0957592753626,1.99204364326376,24.9906296752582,PRIMARY_MODEL_FIT
76,76,76,4,44,527,1096.582,1101.841,-10.49,10.479,876.047741935484,876.94,14.7926194224736,12.0961445748556,3.9917760910816,24.9897571616296,PRIMARY_MODEL_FIT
77,77,77,4,43,526,1130.379,1135.629,-10.456,10.483,666.684144486692,667.88,15.6295797807825,12.1025471861066,3.99177186311787,24.9897655675645,PRIMARY_MODEL_FIT
78,78,78,4,41,526,1164.177,1169.426,-10.491,10.466,216.505076045627,216.87,18.5525109350246,12.1192761586319,3.99122243346008,24.9894938653322,PRIMARY_MODEL_FIT
79,79,79,4,45,526,1197.984,1203.234,-10.485,10.444,1102.59737642585,1100.695,19.0977969200373,12.1057154058909,3.99199809885932,24.9923762716232,PRIMARY_MODEL_FIT
80,80,80,4,42,525,1231.782,1237.021,-10.493,10.442,443.339752380952,444.22,17.9602429825435,12.1001945705335,3.99210285714286,24.988318221586,PRIMARY_MODEL_FIT
1,81,81,4,7,526,1337.004,1342.254,-10.481,10.475,864.971216730038,862.385,22.5567702610987,12.1033909417672,-0.00122813688212928,15.0069766517908,VALIDATION_SPEED_DATA
2,82,82,4,5,526,1370.792,1376.041,-10.452,10.483,649.339505703422,648.685,17.1608743850646,12.0987613151198,-0.00203992395437262,15.0062914896397,VALIDATION_SPEED_DATA
3,83,83,4,1,526,1404.569,1409.819,-10.494,10.464,205.548288973384,206.1,14.0830828375633,12.0980719722598,-0.00113307984790874,15.0131312980105,VALIDATION_SPEED_DATA
4,84,84,4,9,526,1438.407,1443.656,-10.489,10.475,1083.61690114068,1080.975,29.5185749833126,12.0829147014552,-0.00247528517110266,15.0128477826376,VALIDATION_SPEED_DATA
5,85,85,4,3,527,1472.174,1477.434,-10.499,10.492,427.033795066414,428.04,14.621514332913,12.0979142003843,0.000907020872865276,15.0077767847158,VALIDATION_SPEED_DATA
6,86,86,4,8,526,1516.931,1522.181,-10.468,10.475,857.750627376426,858.735,19.2319583180836,12.0692188375137,0.00143346007604563,44.9406832917057,VALIDATION_SPEED_DATA
7,87,87,4,6,526,1550.729,1555.978,-10.452,10.499,647.781197718631,648.545,16.1305151304061,12.0812134032768,0.00123574144486692,44.942230813116,VALIDATION_SPEED_DATA
8,88,88,4,2,526,1584.526,1589.776,-10.477,10.465,209.21463878327,209.14,14.7090331611544,12.1003936790121,0.000290874524714829,44.941084938484,VALIDATION_SPEED_DATA
9,89,89,4,10,526,1618.324,1623.573,-10.459,10.474,1085.17509505703,1086.055,24.1487383618097,12.0943467634446,-0.00226996197718631,44.9424434496457,VALIDATION_SPEED_DATA
10,90,90,4,4,526,1652.121,1657.371,-10.481,10.49,427.122661596958,427.08,16.2232759227079,12.0893283474242,0.00214068441064639,44.9418055400567,VALIDATION_SPEED_DATA
