Dataset,R2,RMSE_N,MAE_N
CANONICAL_PRIMARY,0.997335943958122,74.0087526365632,54.8749968525031
AUDIT_DATABASE,0.997155759996019,79.2838920342234,58.7398645964581
REFERENCE_SUBSET,0.995966322833302,108.034410294166,84.1147824683891
