IA_Target_deg,ConditionID,FZ_Mean_N,Pressure_Mean_psi,IA_Mean_deg,Speed_Mean_mph,MuY_Mean,PeakFY_Mean_N,CorneringStiffness_Mean_N_per_deg
-0,34,871.529246163447,12.0886543166089,-0.00314129587809612,24.9899560684656,2.42731693153479,2115.685,519.497564584185
2,39,869.594580662683,12.0974264243365,1.99417783451023,24.9900791220662,2.43073190577687,2114.025,510.746802538016
4,44,878.818652336563,12.0820833565822,3.99215515580696,24.9898086171592,2.38514588654528,2096.305,474.399734839121
