FullSweepID,Stage2RegionID,RunNumber,Stage2SweepType,Direction,PositivePeakSA_deg,NegativePeakSA_deg,RawCentralSpan_deg,StartTime_s,EndTime_s,Duration_s,SampleCount,SA_Start_deg,SA_End_deg,SA_Min_deg,SA_Max_deg,SA_Range_deg,FY_Min_N,FY_Max_N,FY_Range_N,Stage2Pressure_psi,Stage2FZ_N,Stage2IA_deg,Stage2Speed_mph,P_Mean_kPa,P_Mean_psi,P_Std_kPa,FZ_Mean_N,FZ_Median_N,FZ_Std_N,FZ_Min_N,FZ_Max_N,FZ_RelativeRange,IA_Mean_deg,IA_Median_deg,IA_Std_deg,V_Mean_kph,V_Mean_mph,V_Std_kph,MaxAbsSL,FreeRollingFraction,MonotonicFraction,QC_SampleCount,QC_Duration,QC_SACoverage,QC_FYRange,QC_Monotonicity,QC_Pressure,QC_IA,QC_Speed,QC_FreeRolling,QC_FZ,QCPass,ModelRouting,RejectionReason
11,11,2,MAIN_CORNERING_PART_1,POS_TO_NEG,11.9365714285714,-11.8831904761905,23.8197619047619,619.887,625.147,5.2600000000001,527,10.493,-10.492,-10.492,10.493,20.985,-1211.36,1188.67,2400.03,12,470,2,25,83.3194307400379,12.084461743799,0.695095569135613,437.53935483871,437.98,17.0619786417733,387.5,484.9,0.222384583770948,1.99456356736243,1.994,0.0109722793204271,40.2156356736243,24.9888374851022,0.0488841660535662,0,1,0.99618320610687,1,1,1,1,1,1,1,1,1,1,1,PRIMARY_MODEL_FIT,NONE
12,12,2,MAIN_CORNERING_PART_1,POS_TO_NEG,11.9991428571429,-11.9334761904762,23.932619047619,653.696,658.946,5.25,526,10.496,-10.452,-10.452,10.496,20.948,-2164.54,2096.17,4260.71,12,882.03,4,25,83.2060836501901,12.0680221383088,0.774344247697172,881.589562737643,880.66,12.9029123474715,846.03,912.56,0.0755456135171348,3.99253422053232,3.992,0.0101024168754118,40.2172813688213,24.9898600726888,0.0508932095276722,0,1,0.998095238095238,1,1,1,1,1,1,1,1,1,1,1,PRIMARY_MODEL_FIT,NONE
13,13,2,MAIN_CORNERING_PART_1,POS_TO_NEG,11.9914285714286,-11.8938095238095,23.8852380952381,687.495,692.745,5.25,526,10.495,-10.475,-10.475,10.495,20.97,-1693.3,1647.25,3340.55,12,670,4,25,83.5173384030418,12.1131658235213,0.735089594493026,671.097699619772,671.03,14.1273243998349,635.95,706.38,0.104958049565593,3.99236882129278,3.992,0.0106949430568355,40.2174714828897,24.9899782040942,0.0534439995695247,0,1,1,1,1,1,1,1,1,1,1,1,1,1,PRIMARY_MODEL_FIT,NONE
14,14,2,MAIN_CORNERING_PART_1,POS_TO_NEG,11.9601428571429,-11.8808571428571,23.841,721.274,726.524,5.25,526,10.475,-10.469,-10.469,10.475,20.944,-610.4,641.43,1251.83,12,220,4,25,83.4746197718631,12.1069700098961,0.611373276912407,220.477433460076,220.18,15.6850530144782,182.23,263.72,0.370106276682714,3.9923422053232,3.992,0.0113812212117216,40.2148479087452,24.9883479907001,0.0462155989476988,0,1,0.99618320610687,1,1,1,1,1,1,1,1,1,1,1,PRIMARY_MODEL_FIT,NONE
15,15,2,MAIN_CORNERING_PART_1,POS_TO_NEG,11.9611428571429,-11.907619047619,23.8687619047619,755.093,760.353,5.25999999999999,527,10.493,-10.486,-10.486,10.493,20.979,-2618.07,2549.54,5167.61,12,1160,4,25,83.3762049335863,12.092696144393,0.801783906802546,1107.41812144212,1105.46,18.6518027365621,1061.14,1152.6,0.0827347891375534,3.98928842504744,3.989,0.0108124487640527,40.2174193548387,24.9899458132249,0.0474179363671263,0,1,1,1,1,1,1,1,1,1,1,1,1,1,PRIMARY_MODEL_FIT,NONE
16,16,2,MAIN_CORNERING_PART_1,POS_TO_NEG,11.9341428571429,-11.8302857142857,23.7644285714286,788.883,794.133,5.25,526,10.495,-10.463,-10.463,10.495,20.958,-1172.61,1155.91,2328.52,12,470,4,25,83.4420342205323,12.1022438752482,0.589695520116757,446.044961977186,446.84,16.2535259500231,408.39,489.86,0.182324769492436,3.99236882129278,3.992,0.0118686821725398,40.2189353612167,24.9908878159155,0.0484817845475691,0,1,0.994252873563218,1,1,1,1,1,1,1,1,1,1,1,PRIMARY_MODEL_FIT,NONE
17,17,2,MAIN_CORNERING_PART_1,POS_TO_NEG,11.9625238095238,-11.9574761904762,23.92,889,894.25,5.25,526,10.465,-10.474,-10.474,10.465,20.939,-2778.44,2751.68,5530.12,10,1160,0,25,69.5179087452472,10.082720216392,0.728989254110847,1091.03701520913,1086.87,34.5419361636142,1028.4,1151.49,0.113251814844462,-0.00451520912547529,-0.004,0.0104218980381737,40.2184030418251,24.9905570479805,0.0496551643146073,0,1,1,1,1,1,1,1,1,1,1,1,1,1,PRIMARY_MODEL_FIT,NONE
18,18,2,MAIN_CORNERING_PART_1,POS_TO_NEG,11.9725714285714,-11.9641904761905,23.9367619047619,922.799,928.049,5.25,526,10.487,-10.482,-10.482,10.487,20.969,-2276.21,2252.16,4528.37,10,882.77,0,25,69.5880988593156,10.0929004317477,0.590968694456202,873.196520912547,871.285,23.9980230905349,824.84,915.17,0.103674457841005,-0.00454752851711027,-0.004,0.0105514893362724,40.2207034220532,24.9919864379854,0.0484274564751055,0,1,1,1,1,1,1,1,1,1,1,1,1,1,PRIMARY_MODEL_FIT,NONE
19,19,2,MAIN_CORNERING_PART_1,POS_TO_NEG,11.9983333333333,-11.9265714285714,23.9249047619048,956.598,961.848,5.25,526,10.461,-10.491,-10.491,10.461,20.952,-1797.26,1727.98,3525.24,10,670,0,25,69.651102661597,10.1020383606993,0.473308839989229,650.806235741445,651.445,17.4277551676721,603.82,685.08,0.124738082263276,-0.00430038022813688,-0.004,0.010286981131874,40.2163688212928,24.989293041943,0.0463848178911862,0,1,1,1,1,1,1,1,1,1,1,1,1,1,PRIMARY_MODEL_FIT,NONE
20,20,2,MAIN_CORNERING_PART_1,POS_TO_NEG,11.975380952381,-11.8892857142857,23.8646666666667,990.368,995.617,5.24899999999991,526,10.481,-10.477,-10.477,10.481,20.958,-681.54,656.71,1338.25,10,220,0,25,69.6551711026616,10.1026284381874,0.467080771236187,205.723060836502,205.76,13.929824062886,168.41,238.33,0.339813374805599,-0.000574144486692015,0,0.0111753647742761,40.217319391635,24.9898836989699,0.0466337368621093,0,1,0.998084291187739,1,1,1,1,1,1,1,1,1,1,1,PRIMARY_MODEL_FIT,NONE
21,21,2,MAIN_CORNERING_PART_1,POS_TO_NEG,11.969380952381,-12.001380952381,23.9707619047619,1024.197,1029.446,5.24900000000002,526,10.477,-10.493,-10.493,10.477,20.97,-2734.48,2690.91,5425.39,10,1160,0,25,69.4949809885932,10.0793948264356,0.770640487868785,1087.35954372624,1082.76,33.8657719179844,1026.82,1151.21,0.114882337729506,-0.000889733840304183,-0.002,0.0101273420160463,40.2221482889734,24.9928842366662,0.0494093192185267,0,1,1,1,1,1,1,1,1,1,1,1,1,1,PRIMARY_MODEL_FIT,NONE
22,22,2,MAIN_CORNERING_PART_1,POS_TO_NEG,11.9457142857143,-11.895619047619,23.8413333333333,1057.974,1063.234,5.25999999999999,527,10.498,-10.48,-10.48,10.498,20.978,-1261.88,1188.14,2450.02,10,470,0,25,69.5789753320683,10.0915771759956,0.506009600818377,428.514440227704,429.64,13.3685913476147,389.3,456.63,0.156712596592496,-0.00406831119544592,-0.004,0.0101323504790335,40.2250284629981,24.9946738938338,0.0513945184501287,0,1,1,1,1,1,1,1,1,1,1,1,1,1,PRIMARY_MODEL_FIT,NONE
23,23,2,MAIN_CORNERING_PART_1,POS_TO_NEG,11.9728095238095,-11.9395714285714,23.9123809523809,1091.792,1097.042,5.25,526,10.48,-10.479,-10.479,10.48,20.959,-2265.81,2180.22,4446.03,10,875.35,2,25,69.6698098859316,10.104751614196,0.524789991536012,871.928003802281,872.33,18.3880145024127,826.54,912.28,0.0982884917405111,1.99530038022814,1.995,0.0103185953200501,40.2196577946768,24.9913367152559,0.0458722533220419,0,1,1,1,1,1,1,1,1,1,1,1,1,1,PRIMARY_MODEL_FIT,NONE
24,24,2,MAIN_CORNERING_PART_1,POS_TO_NEG,11.988,-12.0215238095238,24.0095238095238,1125.589,1130.839,5.25,526,10.466,-10.472,-10.472,10.466,20.938,-1794.8,1689.93,3484.73,10,670,2,25,69.6695627376426,10.1047157683673,0.524853901539517,661.507870722433,661.76,13.4883433989507,617.1,692.22,0.113515473887814,1.99404942965779,1.994,0.0114248446757304,40.2266920152091,24.9957075772545,0.0489867641300303,0,1,0.99618320610687,1,1,1,1,1,1,1,1,1,1,1,PRIMARY_MODEL_FIT,NONE
25,25,2,MAIN_CORNERING_PART_1,POS_TO_NEG,11.9671904761905,-11.8655714285714,23.8327619047619,1159.367,1164.617,5.25,526,10.442,-10.5,-10.5,10.442,20.942,-686.63,672.28,1358.91,10,220,2,25,69.6524334600761,10.1022313767,0.468850032213779,214.336863117871,215,16.7458611645155,167.68,257.77,0.419023255813953,1.99503041825095,1.995,0.0118425796182761,40.219505703422,24.9912422101316,0.0461028143524727,0,1,0.998087954110899,1,1,1,1,1,1,1,1,1,1,1,PRIMARY_MODEL_FIT,NONE
26,26,2,MAIN_CORNERING_PART_1,POS_TO_NEG,12.0138095238095,-11.9500476190476,23.9638571428571,1193.184,1198.434,5.25,526,10.481,-10.49,-10.49,10.481,20.971,-2712.87,2637.01,5349.88,10,1160,2,25,69.618288973384,10.0972791375942,0.698583137604143,1097.78279467681,1091.935,28.5482225346726,1049.76,1159.76,0.100738597077665,1.9901825095057,1.991,0.0105925831273317,40.2157604562737,24.9889150214458,0.0486199217936435,0,1,0.998091603053435,1,1,1,1,1,1,1,1,1,1,1,PRIMARY_MODEL_FIT,NONE
