SweepID,RunNumber,FileName,ET_s,SA_deg,FY_N,FZ_Raw_N,FZ_Load_N,IA_deg,P_kPa,V_kph,SL,SweepType,StructuralLegID,Stage2RegionID,LegType,FullSweepID,StructuralRole,Direction,QCPass,ModelRouting,SweepFZ_Mean_N,SweepFZ_Median_N,SweepPressure_Mean_psi,SweepIA_Mean_deg,SweepSpeed_Mean_mph
1,2,B1965run2.mat,282.07,9.826,-2617.51,-1102.21,1102.21,-0.013,84.23,40.24,-0,MAIN_CORNERING_PART_1,2,1,FULL_CENTRAL_SWEEP_RAW,1,FULL_CENTRAL_SWEEP,POS_TO_NEG,1,PRIMARY_MODEL_FIT,1085.10939163498,1081.305,12.0921849842358,-0.00104372623574144,24.9889504608675
1,2,B1965run2.mat,282.08,9.815,-2612.1,-1097.32,1097.32,0.004,84.53,40.23,-0,MAIN_CORNERING_PART_1,2,1,FULL_CENTRAL_SWEEP_RAW,1,FULL_CENTRAL_SWEEP,POS_TO_NEG,1,PRIMARY_MODEL_FIT,1085.10939163498,1081.305,12.0921849842358,-0.00104372623574144,24.9889504608675
1,2,B1965run2.mat,282.09,9.743,-2602.46,-1097.2,1097.2,0.004,84.43,40.25,-0,MAIN_CORNERING_PART_1,2,1,FULL_CENTRAL_SWEEP_RAW,1,FULL_CENTRAL_SWEEP,POS_TO_NEG,1,PRIMARY_MODEL_FIT,1085.10939163498,1081.305,12.0921849842358,-0.00104372623574144,24.9889504608675
1,2,B1965run2.mat,282.1,9.726,-2596.94,-1094.46,1094.46,-0.006,83.88,40.27,-0,MAIN_CORNERING_PART_1,2,1,FULL_CENTRAL_SWEEP_RAW,1,FULL_CENTRAL_SWEEP,POS_TO_NEG,1,PRIMARY_MODEL_FIT,1085.10939163498,1081.305,12.0921849842358,-0.00104372623574144,24.9889504608675
1,2,B1965run2.mat,282.11,9.669,-2602.64,-1101.52,1101.52,0.013,83.47,40.27,-0,MAIN_CORNERING_PART_1,2,1,FULL_CENTRAL_SWEEP_RAW,1,FULL_CENTRAL_SWEEP,POS_TO_NEG,1,PRIMARY_MODEL_FIT,1085.10939163498,1081.305,12.0921849842358,-0.00104372623574144,24.9889504608675
1,2,B1965run2.mat,282.12,9.631,-2613.02,-1108.53,1108.53,0.007,83.77,40.29,-0,MAIN_CORNERING_PART_1,2,1,FULL_CENTRAL_SWEEP_RAW,1,FULL_CENTRAL_SWEEP,POS_TO_NEG,1,PRIMARY_MODEL_FIT,1085.10939163498,1081.305,12.0921849842358,-0.00104372623574144,24.9889504608675
1,2,B1965run2.mat,282.13,9.594,-2621.39,-1114.97,1114.97,0.019,84.28,40.29,-0,MAIN_CORNERING_PART_1,2,1,FULL_CENTRAL_SWEEP_RAW,1,FULL_CENTRAL_SWEEP,POS_TO_NEG,1,PRIMARY_MODEL_FIT,1085.10939163498,1081.305,12.0921849842358,-0.00104372623574144,24.9889504608675
1,2,B1965run2.mat,282.14,9.565,-2626.88,-1118.28,1118.28,0.012,84.53,40.28,-0,MAIN_CORNERING_PART_1,2,1,FULL_CENTRAL_SWEEP_RAW,1,FULL_CENTRAL_SWEEP,POS_TO_NEG,1,PRIMARY_MODEL_FIT,1085.10939163498,1081.305,12.0921849842358,-0.00104372623574144,24.9889504608675
1,2,B1965run2.mat,282.15,9.516,-2623.27,-1112.63,1112.63,-0.006,84.28,40.3,-0,MAIN_CORNERING_PART_1,2,1,FULL_CENTRAL_SWEEP_RAW,1,FULL_CENTRAL_SWEEP,POS_TO_NEG,1,PRIMARY_MODEL_FIT,1085.10939163498,1081.305,12.0921849842358,-0.00104372623574144,24.9889504608675
1,2,B1965run2.mat,282.16,9.47,-2619.69,-1109.25,1109.25,-0.018,83.77,40.29,-0,MAIN_CORNERING_PART_1,2,1,FULL_CENTRAL_SWEEP_RAW,1,FULL_CENTRAL_SWEEP,POS_TO_NEG,1,PRIMARY_MODEL_FIT,1085.10939163498,1081.305,12.0921849842358,-0.00104372623574144,24.9889504608675
1,2,B1965run2.mat,282.17,9.426,-2617.69,-1108.14,1108.14,0.006,83.57,40.31,-0,MAIN_CORNERING_PART_1,2,1,FULL_CENTRAL_SWEEP_RAW,1,FULL_CENTRAL_SWEEP,POS_TO_NEG,1,PRIMARY_MODEL_FIT,1085.10939163498,1081.305,12.0921849842358,-0.00104372623574144,24.9889504608675
1,2,B1965run2.mat,282.18,9.413,-2614.9,-1103.54,1103.54,0.003,83.88,40.3,-0,MAIN_CORNERING_PART_1,2,1,FULL_CENTRAL_SWEEP_RAW,1,FULL_CENTRAL_SWEEP,POS_TO_NEG,1,PRIMARY_MODEL_FIT,1085.10939163498,1081.305,12.0921849842358,-0.00104372623574144,24.9889504608675
1,2,B1965run2.mat,282.19,9.347,-2609.36,-1103.36,1103.36,-0,84.43,40.29,-0,MAIN_CORNERING_PART_1,2,1,FULL_CENTRAL_SWEEP_RAW,1,FULL_CENTRAL_SWEEP,POS_TO_NEG,1,PRIMARY_MODEL_FIT,1085.10939163498,1081.305,12.0921849842358,-0.00104372623574144,24.9889504608675
1,2,B1965run2.mat,282.2,9.325,-2599,-1097.23,1097.23,-0.006,84.48,40.3,-0,MAIN_CORNERING_PART_1,2,1,FULL_CENTRAL_SWEEP_RAW,1,FULL_CENTRAL_SWEEP,POS_TO_NEG,1,PRIMARY_MODEL_FIT,1085.10939163498,1081.305,12.0921849842358,-0.00104372623574144,24.9889504608675
1,2,B1965run2.mat,282.21,9.285,-2588.74,-1097.15,1097.15,0.006,84.13,40.27,-0,MAIN_CORNERING_PART_1,2,1,FULL_CENTRAL_SWEEP_RAW,1,FULL_CENTRAL_SWEEP,POS_TO_NEG,1,PRIMARY_MODEL_FIT,1085.10939163498,1081.305,12.0921849842358,-0.00104372623574144,24.9889504608675
1,2,B1965run2.mat,282.22,9.246,-2585.22,-1095.63,1095.63,-0.015,83.62,40.3,-0,MAIN_CORNERING_PART_1,2,1,FULL_CENTRAL_SWEEP_RAW,1,FULL_CENTRAL_SWEEP,POS_TO_NEG,1,PRIMARY_MODEL_FIT,1085.10939163498,1081.305,12.0921849842358,-0.00104372623574144,24.9889504608675
1,2,B1965run2.mat,282.23,9.201,-2590.14,-1104.59,1104.59,-0.009,83.52,40.29,-0,MAIN_CORNERING_PART_1,2,1,FULL_CENTRAL_SWEEP_RAW,1,FULL_CENTRAL_SWEEP,POS_TO_NEG,1,PRIMARY_MODEL_FIT,1085.10939163498,1081.305,12.0921849842358,-0.00104372623574144,24.9889504608675
1,2,B1965run2.mat,282.24,9.171,-2599.98,-1113.14,1113.14,0.016,83.88,40.31,-0,MAIN_CORNERING_PART_1,2,1,FULL_CENTRAL_SWEEP_RAW,1,FULL_CENTRAL_SWEEP,POS_TO_NEG,1,PRIMARY_MODEL_FIT,1085.10939163498,1081.305,12.0921849842358,-0.00104372623574144,24.9889504608675
1,2,B1965run2.mat,282.25,9.114,-2607.59,-1118.39,1118.39,0.015,84.28,40.32,-0,MAIN_CORNERING_PART_1,2,1,FULL_CENTRAL_SWEEP_RAW,1,FULL_CENTRAL_SWEEP,POS_TO_NEG,1,PRIMARY_MODEL_FIT,1085.10939163498,1081.305,12.0921849842358,-0.00104372623574144,24.9889504608675
1,2,B1965run2.mat,282.26,9.07,-2609.66,-1120.29,1120.29,0.017,84.43,40.31,-0,MAIN_CORNERING_PART_1,2,1,FULL_CENTRAL_SWEEP_RAW,1,FULL_CENTRAL_SWEEP,POS_TO_NEG,1,PRIMARY_MODEL_FIT,1085.10939163498,1081.305,12.0921849842358,-0.00104372623574144,24.9889504608675
1,2,B1965run2.mat,282.27,9.038,-2607.44,-1115.39,1115.39,-0,83.93,40.31,-0,MAIN_CORNERING_PART_1,2,1,FULL_CENTRAL_SWEEP_RAW,1,FULL_CENTRAL_SWEEP,POS_TO_NEG,1,PRIMARY_MODEL_FIT,1085.10939163498,1081.305,12.0921849842358,-0.00104372623574144,24.9889504608675
1,2,B1965run2.mat,282.28,9.009,-2604.52,-1109.99,1109.99,-0.016,83.27,40.31,-0,MAIN_CORNERING_PART_1,2,1,FULL_CENTRAL_SWEEP_RAW,1,FULL_CENTRAL_SWEEP,POS_TO_NEG,1,PRIMARY_MODEL_FIT,1085.10939163498,1081.305,12.0921849842358,-0.00104372623574144,24.9889504608675
1,2,B1965run2.mat,282.29,8.977,-2603.19,-1105.47,1105.47,0.001,83.12,40.3,-0,MAIN_CORNERING_PART_1,2,1,FULL_CENTRAL_SWEEP_RAW,1,FULL_CENTRAL_SWEEP,POS_TO_NEG,1,PRIMARY_MODEL_FIT,1085.10939163498,1081.305,12.0921849842358,-0.00104372623574144,24.9889504608675
1,2,B1965run2.mat,282.3,8.915,-2596.9,-1100.41,1100.41,-0.009,83.47,40.3,-0,MAIN_CORNERING_PART_1,2,1,FULL_CENTRAL_SWEEP_RAW,1,FULL_CENTRAL_SWEEP,POS_TO_NEG,1,PRIMARY_MODEL_FIT,1085.10939163498,1081.305,12.0921849842358,-0.00104372623574144,24.9889504608675
