StructuralLegID,Stage2RegionID,RunNumber,Stage2SweepType,LegType,SampleCount,StartTime_s,EndTime_s,Duration_s,SA_Start_deg,SA_End_deg,SA_Min_deg,SA_Max_deg,SA_Range_deg,FZ_Mean_N,FZ_Median_N,P_Mean_kPa,IA_Mean_deg,V_Mean_kph
24,8,2,MAIN_CORNERING_PART_1,EXIT_PARTIAL_LEG,282,524.319,527.129,2.81000000000006,-12.015,-1.002,-12.018,-1.002,11.016,673.607978723404,672.885,83.2080496453901,1.99427304964539,40.2295035460993
25,9,2,MAIN_CORNERING_PART_1,ENTRY_PARTIAL_LEG,292,548.899,551.809,2.90999999999997,1.021,12.09,1.021,12.09,11.069,212.623904109589,213.49,83.4368835616439,1.9912602739726,40.2081164383562
26,9,2,MAIN_CORNERING_PART_1,FULL_CENTRAL_SWEEP_RAW,627,551.809,558.068,6.25900000000001,12.09,-12.025,-12.044,12.09,24.134,215.610318979266,215.57,83.4748325358852,1.99041626794259,40.2137001594896
27,9,2,MAIN_CORNERING_PART_1,EXIT_PARTIAL_LEG,283,558.068,560.888,2.82000000000005,-12.025,-1.014,-12.025,-1.014,11.011,213.98445229682,213.72,83.4718727915194,1.99137455830389,40.2187985865724
28,10,2,MAIN_CORNERING_PART_1,ENTRY_PARTIAL_LEG,295,582.738,585.678,2.93999999999994,1.02,12.056,1.02,12.208,11.188,1082.84216949153,1083.57,83.5509152542373,1.98988474576271,40.2004406779661
29,10,2,MAIN_CORNERING_PART_1,FULL_CENTRAL_SWEEP_RAW,627,585.678,591.938,6.25999999999999,12.056,-12.012,-12.205,12.056,24.261,1100.49256778309,1101.32,83.4532216905901,1.99066666666667,40.2162360446571
30,10,2,MAIN_CORNERING_PART_1,EXIT_PARTIAL_LEG,280,591.938,594.727,2.78899999999999,-12.012,-1.034,-12.012,-1.034,10.978,1124.67778571429,1123.23,83.0067857142857,1.99107142857143,40.22775
31,11,2,MAIN_CORNERING_PART_1,ENTRY_PARTIAL_LEG,294,616.507,619.437,2.93000000000006,1.012,12.114,1.012,12.157,11.145,431.89156462585,431.3,83.7093537414966,1.99530272108844,40.2114285714286
32,11,2,MAIN_CORNERING_PART_1,FULL_CENTRAL_SWEEP_RAW,627,619.437,625.697,6.25999999999999,12.114,-12.037,-12.107,12.114,24.221,437.868357256778,438.33,83.3651515151515,1.99468261562999,40.2173684210526
33,11,2,MAIN_CORNERING_PART_1,EXIT_PARTIAL_LEG,282,625.697,628.507,2.80999999999995,-12.037,-1.036,-12.037,-1.036,11.001,442.535815602837,442.36,83.3878368794326,1.99397163120567,40.2225886524823
34,12,2,MAIN_CORNERING_PART_1,ENTRY_PARTIAL_LEG,295,650.326,653.266,2.93999999999994,1.014,12.091,1.014,12.202,11.188,852.856610169492,854.58,83.8925423728813,3.99311186440678,40.2045423728814
35,12,2,MAIN_CORNERING_PART_1,FULL_CENTRAL_SWEEP_RAW,627,653.266,659.526,6.25999999999999,12.091,-12.005,-12.15,12.091,24.241,882.102711323764,881.46,83.3791866028708,3.99241307814992,40.2149920255183
36,12,2,MAIN_CORNERING_PART_1,EXIT_PARTIAL_LEG,280,659.526,662.316,2.79000000000008,-12.005,-1.041,-12.005,-1.041,10.964,899.636964285714,899.13,83.2134285714286,3.99358571428572,40.2257857142857
37,13,2,MAIN_CORNERING_PART_1,ENTRY_PARTIAL_LEG,295,684.115,687.055,2.93999999999994,1.013,12.099,1.013,12.191,11.178,648.779288135593,650.06,83.4250847457627,3.99185762711865,40.2153559322034
38,13,2,MAIN_CORNERING_PART_1,FULL_CENTRAL_SWEEP_RAW,626,687.055,693.305,6.25,12.099,-12.026,-12.099,12.099,24.198,671.072747603834,671.615,83.5446006389777,3.99234664536741,40.2164376996805
39,13,2,MAIN_CORNERING_PART_1,EXIT_PARTIAL_LEG,281,693.305,696.105,2.80000000000007,-12.026,-1.029,-12.026,-1.029,10.997,680.946761565836,679.91,83.1610320284698,3.99272241992883,40.2193238434164
40,14,2,MAIN_CORNERING_PART_1,ENTRY_PARTIAL_LEG,293,717.884,720.804,2.91999999999996,1.003,12.092,1.003,12.107,11.104,212.26590443686,212.74,83.1995221843003,3.99372354948806,40.2083276450512
41,14,2,MAIN_CORNERING_PART_1,FULL_CENTRAL_SWEEP_RAW,626,720.804,727.054,6.25,12.092,-12.038,-12.038,12.092,24.13,219.97,219.59,83.4916613418531,3.99240734824281,40.2151916932907
42,14,2,MAIN_CORNERING_PART_1,EXIT_PARTIAL_LEG,285,727.054,729.894,2.84000000000003,-12.038,-1.003,-12.042,-1.003,11.039,216.940175438596,216.5,83.4248070175439,3.9926701754386,40.211649122807
43,15,2,MAIN_CORNERING_PART_1,ENTRY_PARTIAL_LEG,295,751.734,754.673,2.93899999999996,1.052,12.087,1.052,12.213,11.161,1079.39101694915,1081.18,83.6217966101695,3.98994576271187,40.2070847457627
44,15,2,MAIN_CORNERING_PART_1,FULL_CENTRAL_SWEEP_RAW,627,754.673,760.933,6.25999999999999,12.087,-12.007,-12.173,12.087,24.26,1108.17912280702,1107.05,83.4124242424243,3.98968899521531,40.2153429027113
45,15,2,MAIN_CORNERING_PART_1,EXIT_PARTIAL_LEG,280,760.933,763.723,2.78999999999996,-12.007,-1.03,-12.007,-1.03,10.977,1130.533,1129.03,82.9775,3.99030357142857,40.2209642857143
46,16,2,MAIN_CORNERING_PART_1,ENTRY_PARTIAL_LEG,295,785.503,788.443,2.93999999999994,1.041,12.086,1.041,12.144,11.103,429.365661016949,429.61,83.2736949152543,3.99302033898305,40.2176271186441
47,16,2,MAIN_CORNERING_PART_1,FULL_CENTRAL_SWEEP_RAW,625,788.443,794.682,6.23900000000003,12.086,-12.041,-12.041,12.086,24.127,445.41896,446.16,83.441952,3.9925904,40.217344
48,16,2,MAIN_CORNERING_PART_1,EXIT_PARTIAL_LEG,283,794.682,797.502,2.81999999999994,-12.041,-1.005,-12.041,-1.005,11.036,448.315865724382,448.37,83.4518021201414,3.99321908127209,40.2171024734982
49,17,2,MAIN_CORNERING_PART_1,ENTRY_PARTIAL_LEG,296,885.63,888.58,2.95000000000005,1.025,12.045,1.025,12.214,11.189,1091.64243243243,1091.935,69.8599662162162,-0.00439527027027027,40.2041554054054
50,17,2,MAIN_CORNERING_PART_1,FULL_CENTRAL_SWEEP_RAW,626,888.58,894.83,6.25,12.045,-12.052,-12.22,12.045,24.265,1092.66835463259,1095.71,69.5337380191694,-0.0045111821086262,40.2162460063897
51,17,2,MAIN_CORNERING_PART_1,EXIT_PARTIAL_LEG,281,894.83,897.63,2.79999999999995,-12.052,-1.029,-12.052,-1.029,11.023,1124.68238434164,1123.58,69.443024911032,-0.00473309608540925,40.2287900355872
52,18,2,MAIN_CORNERING_PART_1,ENTRY_PARTIAL_LEG,297,919.419,922.379,2.96000000000004,1.001,12.038,1.001,12.22,11.219,877.829562289562,877,69.8073737373737,-0.0051952861952862,40.206430976431
53,18,2,MAIN_CORNERING_PART_1,FULL_CENTRAL_SWEEP_RAW,626,922.379,928.629,6.25,12.038,-12.03,-12.191,12.038,24.229,875.045335463259,876.735,69.6385942492013,-0.00446485623003195,40.2191853035144
54,18,2,MAIN_CORNERING_PART_1,EXIT_PARTIAL_LEG,280,928.629,931.419,2.78999999999996,-12.03,-1.019,-12.03,-1.019,11.011,898.864607142857,896.825,69.5058571428572,-0.00585714285714286,40.2327142857143
55,19,2,MAIN_CORNERING_PART_1,ENTRY_PARTIAL_LEG,295,953.219,956.159,2.93999999999994,1.021,12.096,1.021,12.207,11.186,658.557186440678,656.93,69.7125762711865,-0.00448813559322034,40.2025423728814
56,19,2,MAIN_CORNERING_PART_1,FULL_CENTRAL_SWEEP_RAW,627,956.159,962.418,6.25900000000001,12.096,-12.036,-12.162,12.096,24.258,652.134992025518,653.35,69.66331738437,-0.00437639553429027,40.2160127591706
57,19,2,MAIN_CORNERING_PART_1,EXIT_PARTIAL_LEG,281,962.418,965.218,2.79999999999995,-12.036,-1.029,-12.036,-1.029,11.007,666.780213523132,666.74,69.615231316726,-0.00374021352313167,40.2198932384342
58,20,2,MAIN_CORNERING_PART_1,ENTRY_PARTIAL_LEG,293,986.998,989.918,2.91999999999996,1.021,12.056,1.021,12.107,11.086,216.777645051194,216.37,69.6672696245734,-4.43686006825938e-05,40.2114675767918
59,20,2,MAIN_CORNERING_PART_1,FULL_CENTRAL_SWEEP_RAW,625,989.918,996.157,6.23900000000003,12.056,-12.042,-12.064,12.06,24.124,205.908512,206.11,69.663168,-0.0003232,40.218016
60,20,2,MAIN_CORNERING_PART_1,EXIT_PARTIAL_LEG,284,996.157,998.987,2.82999999999993,-12.042,-1.014,-12.052,-1.014,11.038,203.772535211268,202.59,69.5299295774648,0.000362676056338029,40.2207746478873
61,21,2,MAIN_CORNERING_PART_1,ENTRY_PARTIAL_LEG,296,1020.827,1023.777,2.95000000000005,1.03,12.04,1.03,12.216,11.186,1083.61483108108,1085.31,70.0003378378378,0.000486486486486487,40.2085472972973
62,21,2,MAIN_CORNERING_PART_1,FULL_CENTRAL_SWEEP_RAW,626,1023.777,1030.026,6.24900000000002,12.04,-12.019,-12.216,12.04,24.256,1089.0707028754,1092.89,69.5402076677316,-0.000821086261980831,40.2212619808307
63,21,2,MAIN_CORNERING_PART_1,EXIT_PARTIAL_LEG,280,1030.026,1032.816,2.78999999999996,-12.019,-1.04,-12.019,-1.04,10.979,1119.91935714286,1118.83,69.4727857142857,-0.00188571428571429,40.2273214285714
64,22,2,MAIN_CORNERING_PART_1,ENTRY_PARTIAL_LEG,295,1054.604,1057.544,2.94000000000005,1.036,12.045,1.036,12.171,11.135,438.618169491525,436.63,69.8252203389831,-0.00479661016949153,40.2080338983051
65,22,2,MAIN_CORNERING_PART_1,FULL_CENTRAL_SWEEP_RAW,626,1057.544,1063.794,6.25,12.045,-12.061,-12.117,12.045,24.162,429.438450479233,430.895,69.6017731629393,-0.00420926517571885,40.2241054313099
66,22,2,MAIN_CORNERING_PART_1,EXIT_PARTIAL_LEG,282,1063.794,1066.604,2.80999999999995,-12.061,-1.015,-12.061,-1.015,11.046,436.908156028369,436.57,69.5885815602837,-0.00249290780141844,40.2325177304965
67,23,2,MAIN_CORNERING_PART_1,ENTRY_PARTIAL_LEG,297,1088.412,1091.372,2.96000000000004,1.006,12.06,1.006,12.234,11.228,854.832693602694,856.09,69.8677777777778,1.99506397306397,40.2265993265993
68,23,2,MAIN_CORNERING_PART_1,FULL_CENTRAL_SWEEP_RAW,626,1091.372,1097.621,6.24900000000002,12.06,-12.029,-12.197,12.06,24.257,872.954504792332,874.24,69.6521086261981,1.99543610223642,40.2194408945687
69,23,2,MAIN_CORNERING_PART_1,EXIT_PARTIAL_LEG,280,1097.621,1100.411,2.78999999999996,-12.029,-1.031,-12.029,-1.031,10.998,894.572428571429,893.915,69.4410357142857,1.99426785714286,40.2334285714286
70,24,2,MAIN_CORNERING_PART_1,ENTRY_PARTIAL_LEG,295,1122.21,1125.149,2.93899999999985,1.042,12.105,1.042,12.22,11.178,649.186033898305,649.7,69.7728474576272,1.99457966101695,40.2115593220339
71,24,2,MAIN_CORNERING_PART_1,FULL_CENTRAL_SWEEP_RAW,625,1125.149,1131.389,6.24000000000001,12.105,-12.078,-12.156,12.105,24.261,662.132624,662.25,69.674176,1.9938144,40.224912
72,24,2,MAIN_CORNERING_PART_1,EXIT_PARTIAL_LEG,282,1131.389,1134.199,2.81000000000017,-12.078,-1.042,-12.078,-1.042,11.036,676.465,675.875,69.5806737588653,1.99298581560284,40.2305319148936
73,25,2,MAIN_CORNERING_PART_1,ENTRY_PARTIAL_LEG,293,1155.977,1158.897,2.91999999999985,1.046,12.108,1.046,12.133,11.087,209.559419795222,209.42,69.6469965870307,1.99384982935154,40.2196245733788
74,25,2,MAIN_CORNERING_PART_1,FULL_CENTRAL_SWEEP_RAW,627,1158.897,1165.156,6.25900000000001,12.108,-12.021,-12.052,12.108,24.16,214.136523125997,214.61,69.6815151515152,1.99469059011164,40.2197129186603
75,25,2,MAIN_CORNERING_PART_1,EXIT_PARTIAL_LEG,283,1165.156,1167.976,2.82000000000016,-12.021,-1.008,-12.021,-1.008,11.013,211.73890459364,211.04,69.7019787985866,1.99191519434629,40.2184098939929
76,26,2,MAIN_CORNERING_PART_1,ENTRY_PARTIAL_LEG,295,1189.815,1192.755,2.94000000000005,1.031,12.074,1.031,12.216,11.185,1077.98386440678,1080.35,69.9597627118644,1.98960338983051,40.2031525423729
77,26,2,MAIN_CORNERING_PART_1,FULL_CENTRAL_SWEEP_RAW,628,1192.755,1199.024,6.26899999999978,12.074,-11.987,-12.21,12.074,24.284,1099.03748407643,1098.015,69.6528343949045,1.99013853503185,40.2152070063694
78,26,2,MAIN_CORNERING_PART_1,EXIT_PARTIAL_LEG,280,1199.024,1201.814,2.79000000000019,-11.987,-1.013,-11.987,-1.013,10.974,1128.67003571429,1129.33,69.39975,1.99108214285714,40.2200357142857
79,27,2,MAIN_CORNERING_PART_1,ENTRY_PARTIAL_LEG,295,1223.582,1226.522,2.93999999999983,1.005,12.123,1.005,12.173,11.168,429.560033898305,428.76,69.7131525423729,1.98951525423729,40.2192881355932
