Pressure_psi,Camber_deg,Fz_N,mu_peak,Fy_peak_N,ObservedSA_deg,Calpha_N_per_deg,Calpha_R2,N_total,N_peak,BoundaryFraction,PeakStatus
9.97134446919537,0,904.9,2.53810229466972,2777.775,11.6,NaN,NaN,427,23,0.953006901084456,BOUNDARY-LIMITED
9.97134446919537,2,680.025,2.55244712899466,2487.31,7.8,NaN,NaN,328,35,0.640762342890002,RESOLVED
9.97134446919537,4,684.5,2.12739959869426,2268.905,6,NaN,NaN,365,49,0.492610837438424,RESOLVED
10.0076039036288,-0,669.36,2.60775048709019,2435.465,11,NaN,NaN,812,133,0.901417684176022,RESOLVED
10.0076039036288,2,665.7,2.60514156500968,2110.49,11.6,NaN,NaN,647,80,0.952772073921971,BOUNDARY-LIMITED
10.0076039036288,4,666.145,2.41871878012444,2049.97,9.8,NaN,NaN,680,107,0.806717155087257,RESOLVED
10.0438633380622,0,666.29,2.58717274222734,2672.88,12.2,NaN,NaN,1033,110,0.998363338788871,BOUNDARY-LIMITED
10.0438633380622,2,659.985,2.57681183862486,2125.375,10.2,NaN,NaN,898,162,0.835654596100279,NEAR-PLATEAU
10.0438633380622,4,672.56,2.43066338152573,2049.68,10.2,NaN,NaN,847,139,0.836339783535585,RESOLVED
10.0801227724957,-0,674.255,2.60497950353187,2287.85,11.6,NaN,NaN,1162,188,0.949263502454992,RESOLVED
10.0801227724957,2,657.9,2.6013876032491,2201.155,11.4,NaN,NaN,979,150,0.933202357563851,RESOLVED
10.0801227724957,4,665.625,2.44785199335926,2150.36,8,NaN,NaN,1022,147,0.654986081545767,RESOLVED
10.1163822069291,-0,672.62,2.58685495538944,2603.26,12,NaN,NaN,1170,141,0.983123054235622,BOUNDARY-LIMITED
10.1163822069291,2,665.74,2.58017080160676,2265.8,12.2,NaN,NaN,1027,124,0.998445044602668,BOUNDARY-LIMITED
10.1163822069291,4,670.03,2.40906785727707,2078.68,8.2,NaN,NaN,1000,174,0.672517017961125,RESOLVED
10.1526416413626,-0,666.64,2.61598110560005,2342.25,8.4,NaN,NaN,1169,206,0.689032893117874,RESOLVED
10.1526416413626,2,656.71,2.58577309629493,2276.8,11.4,NaN,NaN,995,181,0.931829328102011,RESOLVED
10.1526416413626,4,654.31,2.42348642064423,2166.29,12.2,NaN,NaN,935,109,0.999099172876914,BOUNDARY-LIMITED
10.188901075796,-0,669.5,2.58773087161214,2653.505,9.6,NaN,NaN,825,146,0.786369593709043,RESOLVED
10.188901075796,2,660.66,2.54279392757782,2573.91,11.6,NaN,NaN,707,129,0.951521614305635,BOUNDARY-LIMITED
10.188901075796,4,664.71,2.43652861257224,2495.59,7.8,NaN,NaN,666,124,0.639921240462712,RESOLVED
10.2251605102294,-0,883.73,2.58478419525057,2814.49,9.4,NaN,NaN,437,70,0.770681315077478,NEAR-PLATEAU
10.2251605102294,2,656.26,2.6218485407502,2624.69,10.2,NaN,NaN,373,53,0.846121941103277,RESOLVED
10.2251605102294,4,670.3,2.53516108395619,2523.48,8.4,NaN,NaN,344,68,0.689541947135117,RESOLVED
10.2614199446629,-0,1050.66,2.60512042535195,2863.19,9.2,NaN,NaN,119,24,0.753727674913977,RESOLVED
10.2614199446629,2,859.93,2.54554901608835,2639.105,7.6,NaN,NaN,112,33,0.622746640445755,RESOLVED
10.2614199446629,4,667.73,2.54439640241187,2208.5,10.4,NaN,NaN,117,14,0.853018372703412,RESOLVED
10.2976793790963,0,1049.06,NaN,2653.395,9.2,NaN,NaN,33,3,0.753665929384779,RESOLVED
10.2976793790963,2,857.18,2.33320856935345,2359.06,5.6,NaN,NaN,29,12,0.654052791403878,RESOLVED
10.2976793790963,4,673.66,2.41580763242275,2575.23,7.2,NaN,NaN,49,12,0.656874372776207,RESOLVED
11.8205756253007,-0,1110.23,1.2498434053215,1602.57,3,NaN,NaN,35,19,0.277932184546971,RESOLVED
11.8568350597341,-0,1064.14,1.51521872534409,1903.155,4,493.363142762421,0.924211322071005,137,21,0.340628459507792,RESOLVED
11.8568350597341,2,904.56,1.7474428267108,1886.17,4.2,NaN,NaN,69,13,0.671140939597315,RESOLVED
11.8568350597341,4,1088.51,1.75899660971716,1965.05,5,NaN,NaN,61,12,0.901875901875902,BOUNDARY-LIMITED
11.8930944941676,-0,1073.08,2.13757704422269,1985.245,11.2,502.682418032161,0.907954707271516,231,10,0.950279993212286,BOUNDARY-LIMITED
11.8930944941676,2,872.325,2.46955345060893,2330.67,6.8,NaN,NaN,184,13,0.614106384900208,RESOLVED
11.8930944941676,4,903.07,1.87845026025413,2151.99,5.8,NaN,NaN,143,18,0.67899789276516,RESOLVED
11.929353928601,-0,883.345,2.34810920536447,2326.83,9.6,NaN,NaN,662,43,0.779853777416734,RESOLVED
11.929353928601,2,830.18,2.39029500501962,2267.73,9.2,NaN,NaN,407,26,0.754593175853018,RESOLVED
11.929353928601,4,874.095,2.42567236804018,2436.345,11.6,NaN,NaN,386,14,0.967150241787561,BOUNDARY-LIMITED
11.9656133630344,0,673.21,2.42637273097642,2097.21,12.2,NaN,NaN,1609,93,0.991789285423949,BOUNDARY-LIMITED
11.9656133630344,2,666.725,2.43298848422432,1982.96,8.8,NaN,NaN,840,113,0.722495894909688,RESOLVED
11.9656133630344,4,667.98,2.37509491268033,2032.375,8.4,NaN,NaN,816,97,0.689032893117874,RESOLVED
12.0018727974679,0,667.79,2.41343236891131,2056.5,12.2,NaN,NaN,2796,256,0.996732026143791,BOUNDARY-LIMITED
12.0018727974679,2,663.53,2.48155663371724,2225.04,12.2,NaN,NaN,1254,111,0.999344692005243,BOUNDARY-LIMITED
12.0018727974679,4,665.19,2.40154117129018,2442.02,12.2,NaN,NaN,1268,117,0.998935560468354,BOUNDARY-LIMITED
12.0381322319013,0,659.81,2.40048116542392,2199.33,12.2,NaN,NaN,3619,370,0.991547464239272,BOUNDARY-LIMITED
12.0381322319013,2,661.34,2.52269016030945,1904.52,11.6,NaN,NaN,1639,220,0.951521614305635,BOUNDARY-LIMITED
12.0381322319013,4,666.165,2.41547100865173,1994.835,12.2,NaN,NaN,1580,175,0.999836092443862,BOUNDARY-LIMITED
12.0743916663348,-0,659.34,2.41594341662291,2087.65,12.2,NaN,NaN,4510,467,0.993404445892028,BOUNDARY-LIMITED
12.0743916663348,2,658.85,2.47044428964885,2196.35,12.2,NaN,NaN,1888,178,0.999590331831217,BOUNDARY-LIMITED
12.0743916663348,4,655.18,2.41760258695935,1808.21,11.6,NaN,NaN,2009,304,0.953555281545417,BOUNDARY-LIMITED
12.1106511007682,0,656.76,2.42125676142249,1941.25,12.2,NaN,NaN,4479,487,0.992192582953806,BOUNDARY-LIMITED
12.1106511007682,2,655.145,2.46126225770201,1871.08,11.4,NaN,NaN,1788,318,0.934732699245654,RESOLVED
12.1106511007682,4,656.195,2.28853431522962,1822.105,7.2,NaN,NaN,1852,311,0.59026069847516,RESOLVED
12.1469105352016,-0,660.38,2.39065329351964,2192.905,12.2,NaN,NaN,3037,354,0.994295028524858,BOUNDARY-LIMITED
12.1469105352016,2,661.175,2.44794459859631,1963.865,10.6,NaN,NaN,1244,219,0.869351267120479,RESOLVED
12.1469105352016,4,663.955,2.36694302191177,2030.485,8.8,NaN,NaN,1340,198,0.722792607802875,RESOLVED
12.1831699696351,0,664.545,2.39656937640777,2154.03,10.2,NaN,NaN,2924,533,0.832925036746693,NEAR-PLATEAU
12.1831699696351,2,660.06,2.42580309216684,2045.185,11,NaN,NaN,1273,290,0.902675201050386,RESOLVED
12.1831699696351,4,667.42,2.32282339652801,1929.22,7.6,NaN,NaN,1247,246,0.623308455671287,RESOLVED
12.2194294040685,-0,671.185,2.40726189728111,2329.46,8.6,NaN,NaN,1890,344,0.705033612067552,RESOLVED
12.2194294040685,2,661.8,2.44292878408821,2149.52,9.4,NaN,NaN,902,171,0.77175697865353,RESOLVED
12.2194294040685,4,671.47,2.38181229883487,2105.15,9.2,NaN,NaN,917,156,0.757575757575757,RESOLVED
12.2556888385019,-0,853.445,2.44306575882458,2545.63,12.2,NaN,NaN,1022,119,0.999836092443862,BOUNDARY-LIMITED
12.2556888385019,2,659.15,2.44230272315596,2363.38,10.2,NaN,NaN,479,84,0.836545558927253,RESOLVED
12.2556888385019,4,665.18,2.45172723989886,2425.48,10,NaN,NaN,502,104,0.823045267489712,RESOLVED
12.2919482729354,0,863.47,2.37949826264358,2575.04,9,NaN,NaN,378,57,0.739766562551373,RESOLVED
12.2919482729354,2,672.39,2.45139025833169,2646.5,11,NaN,NaN,276,63,0.901935060675631,RESOLVED
12.2919482729354,4,687.71,2.39433898067987,2495.15,8,NaN,NaN,191,54,0.658490410733394,RESOLVED
12.3282077073688,0,870.88,2.38000954636412,2590.75,9.4,NaN,NaN,113,15,0.77423605963265,RESOLVED
12.3282077073688,2,662.97,2.46439662885512,2729.19,11.2,NaN,NaN,141,30,0.920295809367297,RESOLVED
12.3282077073688,4,846.225,2.18306401013199,2429.86,6.6,NaN,NaN,106,20,0.544779199339662,RESOLVED
12.3644671418023,-0,862.07,2.309601521229,2228.21,6.2,NaN,NaN,29,10,0.536517826237452,RESOLVED
12.3644671418023,2,657.91,2.33720263692362,2503.42,7.4,NaN,NaN,61,20,0.609806345282241,RESOLVED
12.3644671418023,4,867.63,NaN,2605.975,7.6,NaN,NaN,35,6,0.625874989706003,RESOLVED
13.8873633880066,0,645.03,NaN,1775.315,4,NaN,NaN,29,8,0.358390825194875,RESOLVED
13.8873633880066,2,1075.235,NaN,1899.36,4.6,NaN,NaN,26,6,0.388973448334179,RESOLVED
13.9236228224401,-0,667.645,2.35500394011032,2428.14,7.4,NaN,NaN,150,23,0.615179981710865,RESOLVED
13.9236228224401,2,869.25,1.83565764778779,2008.57,5,NaN,NaN,93,15,0.411963417648513,RESOLVED
13.9236228224401,4,860.625,2.06922794216513,2256.895,7.8,NaN,NaN,110,11,0.645321419707123,RESOLVED
13.9598822568735,0,860.84,2.35488150179475,2568.77,10.4,NaN,NaN,451,73,0.857802705377763,RESOLVED
13.9598822568735,2,681.13,2.30908640919778,2003.005,8.2,NaN,NaN,288,37,0.675453047775947,RESOLVED
13.9598822568735,4,678,2.27838355954298,2143.765,8.4,NaN,NaN,412,41,0.690959940774862,RESOLVED
