SA_deg,MuRef,LoadExponent_B,R2,N_bins
2,1.08737208818337,-0.333787833220995,0.973019585033687,9
4,1.77327965540649,-0.22968791743079,0.971523033267937,8
6,2.14280905218679,-0.187923381036839,0.964395426750595,8
8,2.29175815422326,-0.166182761646904,0.986577279904082,6
10,2.30944659069684,-0.14816790998786,0.993997143809643,7
12,2.29203666637955,-0.153520139583488,0.990348134870218,7
