ConditionID,RepeatCount,FZ_Mean_N,Pressure_Mean_psi,IA_Mean_deg,Speed_Mean_mph,PeakFY_Mean_N,PeakFY_Std_N,PeakFY_CV_pct,CorneringStiffness_Mean_N_per_deg,CorneringStiffness_Std_N_per_deg,CorneringStiffness_CV_pct
5,2,1085.68614638423,8.10018395634199,0.000144468654627312,24.98717138397,2673.285,16.8079281888042,0.628736860783801,525.327322410264,11.5323170501409,2.19526313560643
20,2,1089.19827946768,10.0810575214138,-0.00270247148288973,24.9917206423234,2756.46,31.0844141009607,1.12769327691897,589.43848479657,9.06840008225507,1.53848116744274
31,2,206.225133079848,12.099621615009,-0.000508555133079848,24.9881885133029,666.195,1.76069588515451,0.264291368916685,207.26578596124,7.88236266223703,3.80302162543657
32,2,428.227994296578,12.0965953998538,-0.00113878326996198,24.988631506073,1184.175,23.7941431869274,2.00934348275613,333.872281745989,17.4769370845708,5.23461755889854
33,2,649.987119771863,12.1003468036976,-0.00261406844106464,24.9893521076457,1660.9,91.0753534168273,5.48349409457687,435.857708595818,20.3834686549029,4.67663373915569
34,2,871.529246163447,12.0886543166089,-0.00314129587809612,24.9899560684656,2115.685,137.4827714661,6.49826280689708,519.497564584185,22.3759543112078,4.30722987683646
35,4,1085.7070260496,12.0915698418751,-0.00102198396836964,24.9896071437111,2554.0475,112.355035898115,4.39909735030828,576.051470062817,21.7425260674964,3.77440683644561
36,2,213.272457740359,12.1048626191824,1.9915064946587,24.9894684952065,674.2,25.3285649021022,3.75683252775173,209.622626998673,2.87960109198434,1.37370718667816
37,2,436.637504743833,12.0901105095808,1.99330360531309,24.9897335801802,1195.17,22.8961175748203,1.91572057320886,334.02948929426,15.2978444163922,4.57978858355099
38,2,660.902642585551,12.0971427380846,1.99265589353612,24.9912894626938,1680.21,63.1163512887112,3.75645611493273,436.182786132952,22.523866337528,5.16385952256781
39,2,869.594580662683,12.0974264243365,1.99417783451023,24.9900791220662,2114.025,121.982990822491,5.77017730738716,510.746802538016,31.0084649165909,6.07120098696709
40,2,1097.07326045627,12.0928467533814,1.99258460076046,24.9902499063265,2562.16,128.014611666013,4.9963550935934,564.216688264642,30.8500814364112,5.46777188234127
41,2,218.491254752852,12.113123084264,3.99178231939164,24.9889209280161,627.865,19.183806973591,3.0554031477453,184.596748236919,2.56842683337795,1.39137165627724
42,2,444.692357179069,12.1012192228909,3.99223583921782,24.9896030187507,1147.295,35.8008163314748,3.12045431484272,307.365479544287,6.11624410274772,1.98989298076541
43,2,668.890922053232,12.107856504814,3.99207034220532,24.9898718858293,1643.395,70.5763278302293,4.29454439317567,404.4856873335,17.7055727330886,4.37730512785493
44,2,878.818652336563,12.0820833565822,3.99215515580696,24.9898086171592,2096.305,96.4988624285282,4.60328351210955,474.399734839121,21.5964539088548,4.55237478498563
45,2,1105.00774893399,12.099205775142,3.99064326195338,24.9911610424241,2537.78,113.547206922936,4.47427306239848,531.687388309691,23.2383279203976,4.37067503035488
50,2,1085.99216044617,14.0949523872397,-0.00327586561424521,24.9919601554289,2581.555,18.0807203949401,0.700380987232119,579.133829401771,6.18441698152528,1.06787354969638
