SweepID,ConditionID,RunNumber,FZ_Mean_N,Pressure_Mean_psi,IA_Mean_deg,Speed_Mean_mph,PositivePeakFY_N,NegativePeakFY_N,SymmetryRatio
1,35,2,1085.10939163498,12.0921849842358,-0.00104372623574144,24.9889504608675,2646.83,2596.24,1.01948587187625
2,34,2,873.483036053131,12.0872909429336,-0.00435673624288425,24.9899811853991,2212.9,2141.8,1.03319637687926
3,33,2,652.245038022814,12.1028229232506,-0.00404942965779468,24.9872139292086,1725.3,1653.49,1.04342935246055
4,31,2,207.469505703422,12.0956565148785,-0.000231939163498099,24.9867414035871,667.44,638.84,1.04476864316574
5,35,2,1089.35992395437,12.0908669606876,0.000444866920152091,24.9891867236782,2653.82,2608.62,1.01732716915457
6,32,2,428.583041825095,12.0944818746452,0.00344486692015209,24.9880881016083,1201,1157.14,1.03790379729333
7,39,2,872.61030418251,12.1077475886421,1.99527376425856,24.9880762884678,2200.28,2121.06,1.03734924990335
8,38,2,662.924771863118,12.0998890800386,1.9933288973384,24.990084522359,1724.84,1660.86,1.03852221138446
9,36,2,215.959372623574,12.1100251774514,1.99018060836502,24.9892221630998,662.5,692.11,0.957217783300342
10,40,2,1098.99950570342,12.0976914550011,1.99088212927757,24.9898364464077,2652.68,2604.85,1.01836190183696
11,37,2,437.53935483871,12.084461743799,1.99456356736243,24.9888374851022,1211.36,1188.67,1.019088561165
12,44,2,881.589562737643,12.0680221383088,3.99253422053232,24.9898600726888,2164.54,2096.17,1.03261662937643
13,43,2,671.097699619772,12.1131658235213,3.99236882129278,24.9899782040942,1693.3,1647.25,1.02795568371528
14,41,2,220.477433460076,12.1069700098961,3.9923422053232,24.9883479907001,610.4,641.43,0.951623715760099
15,45,2,1107.41812144212,12.092696144393,3.98928842504744,24.989945813225,2618.07,2549.54,1.0268793586294
16,42,2,446.044961977186,12.1022438752482,3.99236882129278,24.9908878159155,1172.61,1155.91,1.01444749158671
17,20,2,1091.03701520913,10.082720216392,-0.00451520912547529,24.9905570479805,2778.44,2751.68,1.00972496801954
18,19,2,873.196520912547,10.0929004317477,-0.00454752851711027,24.9919864379854,2276.21,2252.16,1.01067863739699
19,18,2,650.806235741445,10.1020383606993,-0.00430038022813688,24.989293041943,1797.26,1727.98,1.0400930566326
20,16,2,205.723060836502,10.1026284381874,-0.000574144486692015,24.9898836989699,681.54,656.71,1.03780968768558
21,20,2,1087.35954372624,10.0793948264356,-0.000889733840304183,24.9928842366662,2734.48,2690.91,1.01619154858394
22,17,2,428.514440227704,10.0915771759956,-0.00406831119544592,24.9946738938338,1261.88,1188.14,1.06206339320282
23,24,2,871.928003802281,10.104751614196,1.99530038022814,24.9913367152559,2265.81,2180.22,1.03925750612324
24,23,2,661.507870722433,10.1047157683673,1.99404942965779,24.9957075772545,1794.8,1689.93,1.06205582479748
25,21,2,214.336863117871,10.1022313767,1.99503041825095,24.9912422101316,686.63,672.28,1.021345272803
26,25,2,1097.78279467681,10.0972791375941,1.9901825095057,24.9889150214459,2712.87,2637.01,1.02876742977842
27,22,2,437.653307984791,10.1082314169531,1.99025475285171,24.9895883704565,1252.03,1189.39,1.05266565214101
28,29,2,880.65660341556,10.1030673573057,3.99273624288425,24.9942140555701,2210.84,2112.51,1.04654652522355
29,28,2,669.600872865275,10.1213470661107,3.98990891840607,24.9953931280412,1692.15,1627.9,1.03946802629154
30,26,2,219.886723809524,10.1125145339229,3.99217333333333,24.9947449750599,621.66,605.94,1.02594316268938
31,30,2,1104.84355513308,10.0951476894712,3.98971673003803,24.99296692865,2654.96,2561.62,1.0364378791546
32,27,2,446.741064638783,10.1082010858672,3.9926349809886,24.9925180293096,1174.39,1127.92,1.04119973047734
33,50,2,1088.04711026616,14.088191022082,-0.00476235741444867,24.9895765573159,2594.34,2496.28,1.03928245228901
34,49,2,870.213346007605,14.1004447807605,-0.00432699619771863,24.9930023680716,2121.53,2025.24,1.04754498232308
35,48,2,649.047104761905,14.1059449279539,-0.00469333333333334,24.9946502899259,1640.51,1551.49,1.05737710201161
36,46,2,209.329410646388,14.0842066203515,-5.13307984790875e-05,24.992636160715,649.78,604.9,1.07419408166639
37,50,2,1083.93721062619,14.1017137523974,-0.00178937381404175,24.9943437535419,2568.77,2454.14,1.0467088267173
38,47,2,428.457186311787,14.0901046378612,-0.00126996197718631,24.9947152734495,1147.93,1069.87,1.07296213558657
39,54,2,870.626254752852,14.1026892811125,1.99393536121673,24.9933567622877,2120.83,1990.05,1.06571694178538
40,53,2,659.623840304183,14.1131810794409,1.99303422053232,24.9970897146974,1662.49,1544.84,1.07615675409751
41,51,2,211.675817490494,14.1027278843126,1.99573384030418,24.994089177001,629.46,645.44,0.975241695587506
42,55,2,1095.77268060836,14.0900853362611,1.99313498098859,24.9938292879092,2580.42,2432.59,1.0607706189699
43,52,2,436.993288973384,14.11576473648,1.99267300380228,24.9911358918668,1176.28,1136.49,1.03501130674269
44,59,2,878.750209125475,14.0850090154404,3.99188403041825,24.9942663741091,2097.33,1941.44,1.08029606889731
45,58,2,668.832585551331,14.0969429190319,3.98862547528517,24.9938765404713,1638.55,1512.33,1.08346062036725
46,56,2,217.75108365019,14.1010403729915,3.99256273764259,24.9925652818718,598.57,612.13,0.977847842778495
47,60,2,1106.31435361217,14.0874410170503,3.99210266159696,24.9941836821253,2522.39,2367.88,1.06525246211801
48,57,2,443.993117870722,14.1073602683315,3.98905703422053,24.9960855977517,1131.88,1066.9,1.06090542693786
49,5,4,1084.29400379507,8.10033838745533,-0.00198102466793169,24.9865972474072,2661.4,2592.11,1.02673111866395
50,4,4,869.325475285171,8.10267108706798,-0.000925855513307985,24.9898482595483,2255.84,2219.58,1.01633642400815
51,3,4,647.314600760456,8.10157365323494,-0.00234030418250951,24.9882771118569,1761.31,1744.77,1.00947975950985
52,1,4,204.059125475285,8.10620052251093,-0.000361216730038022,24.9863751962305,753.31,706.98,1.06553226399615
53,5,4,1087.07828897338,8.10002952522865,0.00226996197718631,24.9877455205327,2685.17,2629.33,1.02123734943883
54,2,4,425.416711026616,8.09656902407169,0.00246958174904943,24.9885842535108,1279.93,1241.91,1.03061413467965
55,9,4,868.869239543726,8.10159019746358,1.9946102661597,24.9863633830899,2232.25,2177.69,1.02505407105695
56,8,4,659.33220952381,8.10940800726457,1.99247619047619,24.9889455105991,1769.99,1712.18,1.03376397341401
57,6,4,211.230608365019,8.10459573233297,1.99397718631179,24.9887260111973,740.6,692.95,1.06876398008514
58,10,4,1092.90057034221,8.11169872116191,1.99308745247148,24.9891985368187,2655.26,2540.27,1.04526684171368
59,7,4,436.140285171103,8.10848086869165,1.99021482889734,24.9887614506189,1271.91,1188,1.07063131313131
60,14,4,876.663847619048,8.10081072269643,3.99254476190476,24.9899988827154,2178.52,2093.48,1.04062135773927
61,13,4,667.303783269962,8.10623085359677,3.99197718631179,24.9912776495532,1711.7,1619.37,1.0570160000494
62,11,4,216.718288973384,8.10816377097607,3.99107414448669,24.9939828587362,636.09,598.15,1.06342890579286
63,15,4,1099.84666666667,8.09030446523735,3.9926780952381,24.990993076623,2601.79,2459.35,1.05791774249294
64,12,4,443.380910815939,8.1065086836223,3.99266034155598,24.9877645291535,1190.87,1098.41,1.08417621835198
