Pressure_State_psi,ConditionCount,FZ_Mean_N,PeakFY_Mean_N,MuY_Mean,CorneringStiffness_Mean_N_per_deg,PeakSlipAngle_Mean_deg
8,15,653.612564614841,1714.177,2.77471726569034,395.756516082564,8.69442857142857
10,15,656.825079823486,1722.63266666667,2.72670636522424,419.187441801881,8.625
12,15,655.670526720383,1630.62716666667,2.6085168774599,401.991882829474,8.139
14,15,655.558162674201,1621.93633333333,2.57701175390604,394.10152072749,8.33133333333333
