IA_State_deg,ConditionCount,FZ_Mean_N,PeakFY_Mean_N,MuY_Mean,CorneringStiffness_Mean_N_per_deg,PeakSlipAngle_Mean_deg
-0,20,648.197816182641,1690.966625,2.75457416140362,418.167587738849,8.7108
2,20,655.192704078401,1689.66875,2.71055481852267,410.877705136778,8.4426
4,20,662.859230113641,1636.3945,2.55008521678411,379.23272820543,8.42928571428571
