SweepID,OriginalFullSweepID,Stage2RegionID,RunNumber,ConditionID,SampleCount,FZ_Mean_N,FZ_Median_N,FZ_Std_N,Pressure_Mean_psi,IA_Mean_deg,Speed_Mean_mph,SA_Min_deg,SA_Max_deg,FY_Min_N,FY_Max_N,PeakAbsFY_N,PeakSignedFY_N,SA_AtPeak_deg,MuY_Peak,RawCorneringSlope_N_per_deg,CorneringStiffness_N_per_deg,CorneringStiffness_N_per_rad,Stiffness_R2,ZeroSlipFY_N,PositivePeakFY_N,NegativePeakFY_N,SymmetryRatio,PeakStatus,PeakBoundaryDistance_deg,LoadQC,StiffnessQC
16,16,16,2,42,526,446.044961977186,446.84,16.2535259500231,12.1022438752482,3.99236882129278,24.9908878159155,-10.463,10.495,-1172.61,1155.91,1172.61,-1172.61,10.09,2.62890537940876,-311.690317224732,311.690317224732,17858.539692071,0.996314789045504,60.4759448090103,1172.61,1155.91,1.01444749158671,BOUNDARY_LIMITED,0.404999999999999,NORMAL,GOOD
17,17,17,2,20,526,1091.03701520913,1086.87,34.5419361636142,10.082720216392,-0.00451520912547529,24.9905570479805,-10.474,10.465,-2778.44,2751.68,2778.44,-2778.44,10.423,2.54660470842728,-595.850811989245,595.850811989245,34139.7367464269,0.999465269140203,-40.2519018772747,2778.44,2751.68,1.00972496801954,BOUNDARY_LIMITED,0.0419999999999998,NORMAL,GOOD
18,18,18,2,19,526,873.196520912547,871.285,23.9980230905349,10.0929004317477,-0.00454752851711027,24.9919864379854,-10.482,10.487,-2276.21,2252.16,2276.21,-2276.21,10.391,2.60675569071349,-554.665602864297,554.665602864297,31779.9980852037,0.998589112480903,-20.9830589226891,2276.21,2252.16,1.01067863739699,BOUNDARY_LIMITED,0.0960000000000001,NORMAL,GOOD
19,19,19,2,18,526,650.806235741445,651.445,17.4277551676721,10.1020383606993,-0.00430038022813688,24.989293041943,-10.491,10.461,-1797.26,1727.98,1797.26,-1797.26,10.461,2.7615900114301,-478.308687754673,478.308687754673,27405.0691127835,0.997057155601944,-15.8083330876303,1797.26,1727.98,1.0400930566326,BOUNDARY_LIMITED,0,NORMAL,GOOD
20,20,20,2,16,526,205.723060836502,205.76,13.929824062886,10.1026284381874,-0.000574144486692015,24.9898836989699,-10.477,10.481,-681.54,656.71,681.54,-681.54,8.463,3.31290034879295,-224.007042413318,224.007042413318,12834.6581114911,0.989013094347931,-2.84491025860472,681.54,656.71,1.03780968768558,RESOLVED,2.018,LOW_LOAD,GOOD
21,21,21,2,20,526,1087.35954372624,1082.76,33.8657719179844,10.0793948264356,-0.000889733840304183,24.9928842366662,-10.493,10.477,-2734.48,2690.91,2734.48,-2734.48,10.477,2.51478916589935,-583.026157603895,583.026157603895,33404.9381764323,0.999507458509476,-30.7612865896374,2734.48,2690.91,1.01619154858394,BOUNDARY_LIMITED,0,NORMAL,GOOD
22,22,22,2,17,527,428.514440227704,429.64,13.3685913476147,10.0915771759956,-0.00406831119544592,24.9946738938338,-10.48,10.498,-1261.88,1188.14,1261.88,-1261.88,10.189,2.94477824208086,-367.596963553127,367.596963553127,21061.7545734185,0.993818044585187,-6.75551812343778,1261.88,1188.14,1.06206339320282,BOUNDARY_LIMITED,0.308999999999999,NORMAL,GOOD
23,23,23,2,24,526,871.928003802281,872.33,18.3880145024127,10.104751614196,1.99530038022814,24.9913367152559,-10.479,10.48,-2265.81,2180.22,2265.81,-2265.81,10.162,2.5986205169685,-530.796832651652,530.796832651652,30412.4182898515,0.99913108492734,139.746501091571,2265.81,2180.22,1.03925750612324,BOUNDARY_LIMITED,0.318,NORMAL,GOOD
24,24,24,2,23,526,661.507870722433,661.76,13.4883433989507,10.1047157683673,1.99404942965779,24.9957075772545,-10.472,10.466,-1794.8,1689.93,1794.8,-1794.8,10.119,2.71319523082907,-463.007822084573,463.007822084573,26528.3940869901,0.99804283647426,92.4188867515293,1794.8,1689.93,1.06205582479748,BOUNDARY_LIMITED,0.347,NORMAL,GOOD
25,25,25,2,21,526,214.336863117871,215,16.7458611645155,10.1022313767,1.99503041825095,24.9912422101316,-10.5,10.442,-686.63,672.28,686.63,-686.63,9.359,3.20350867327194,-220.607533300106,220.607533300106,12639.8805868878,0.990958069723731,10.4970746054277,686.63,672.28,1.021345272803,RESOLVED,1.083,LOW_LOAD,GOOD
