SweepID,OriginalFullSweepID,Stage2RegionID,RunNumber,ConditionID,SampleCount,FZ_Mean_N,FZ_Median_N,FZ_Std_N,Pressure_Mean_psi,IA_Mean_deg,Speed_Mean_mph,SA_Min_deg,SA_Max_deg,FY_Min_N,FY_Max_N,PeakAbsFY_N,PeakSignedFY_N,SA_AtPeak_deg,MuY_Peak,RawCorneringSlope_N_per_deg,CorneringStiffness_N_per_deg,CorneringStiffness_N_per_rad,Stiffness_R2,ZeroSlipFY_N,PositivePeakFY_N,NegativePeakFY_N,SymmetryRatio,PeakStatus,PeakBoundaryDistance_deg,LoadQC,StiffnessQC
66,66,66,4,34,526,869.575456273764,868.76,21.4336908645509,12.0900176902841,-0.00192585551330798,24.989930951532,-10.496,10.484,-2018.47,1990.93,2018.47,-2018.47,10.078,2.32121316837689,-503.67537555521,503.67537555521,28858.4732639802,0.997746107408178,-27.0890691902482,2018.47,1990.93,1.01383273143707,BOUNDARY_LIMITED,0.406000000000001,NORMAL,GOOD
67,67,67,4,33,526,647.729201520913,647.205,17.2124805696685,12.0978706841447,-0.0011787072243346,24.9914902860829,-10.485,10.467,-1596.5,1548.78,1596.5,-1596.5,10.196,2.46476459028141,-421.444419685833,421.444419685833,24146.9865473384,0.996337419730611,-8.99566375463008,1596.5,1548.78,1.03081134828704,BOUNDARY_LIMITED,0.271000000000001,NORMAL,GOOD
68,68,68,4,31,526,204.980760456274,206.385,14.6790221223426,12.1035867151394,-0.000785171102661597,24.9896356230186,-10.463,10.474,-664.95,613.66,664.95,-664.95,8.853,3.2439629871597,-201.692113871001,201.692113871001,11556.1068858803,0.990971602418437,4.28552763901665,664.95,613.66,1.08358048430727,RESOLVED,1.621,LOW_LOAD,GOOD
69,69,69,4,35,527,1083.97719165085,1080.24,27.8090422845267,12.093769478695,-0.00174573055028463,24.98933269554,-10.5,10.482,-2438.16,2413.09,2438.16,-2438.16,10.482,2.24927241899507,-553.29895780234,553.29895780234,31701.6950910611,0.998782670729822,-41.9177516944772,2438.16,2413.09,1.01038916907368,BOUNDARY_LIMITED,0,NORMAL,GOOD
70,70,70,4,32,526,427.872946768061,428.71,16.1587625252566,12.0987089250624,-0.00572243346007605,24.9891749105377,-10.496,10.48,-1167.35,1106.9,1167.35,-1167.35,10.132,2.72826316507641,-321.514221019119,321.514221019119,18421.4079178318,0.9939452561142,1.61869870657338,1167.35,1106.9,1.05461197940193,BOUNDARY_LIMITED,0.348000000000001,NORMAL,GOOD
71,71,71,4,39,525,866.578857142857,865.91,16.8768998542797,12.087105260031,1.99308190476191,24.9920819556646,-10.454,10.469,-2027.77,1954.53,2027.77,-2027.77,10.128,2.3399716982314,-488.82050672131,488.82050672131,28007.3519745773,0.99856074943516,88.8732404876919,2027.77,1954.53,1.03747192419661,BOUNDARY_LIMITED,0.340999999999999,NORMAL,GOOD
72,72,72,4,38,526,658.880513307985,660.465,15.8112509165321,12.0943963961305,1.99198288973384,24.9924944030285,-10.489,10.494,-1635.58,1531.84,1635.58,-1635.58,10.367,2.48236207774363,-420.256007507147,420.256007507147,24078.8955451777,0.997706889560479,59.4423829117553,1635.58,1531.84,1.06772247754335,BOUNDARY_LIMITED,0.126999999999999,NORMAL,GOOD
73,73,73,4,36,525,210.585542857143,210.93,18.9623748779523,12.0997000609134,1.99283238095238,24.9897148273133,-10.46,10.466,-656.29,652.89,656.29,-656.29,8.27,3.11650073929916,-207.586441539419,207.586441539419,11893.8269843479,0.990458773841129,11.0451540268326,656.29,652.89,1.00520761537166,RESOLVED,2.196,LOW_LOAD,GOOD
74,74,74,4,40,526,1095.14701520913,1093.17,23.2509168447542,12.0880020517616,1.99428707224335,24.9906633662453,-10.49,10.487,-2471.64,2405.61,2471.64,-2471.64,10.076,2.25690246667752,-542.402386480799,542.402386480799,31077.3675431735,0.999134983894306,110.270590129257,2471.64,2405.61,1.0274483395064,BOUNDARY_LIMITED,0.411,NORMAL,GOOD
75,75,75,4,37,527,435.735654648956,437.35,17.9294985366028,12.0957592753626,1.99204364326376,24.9906296752582,-10.493,10.487,-1178.98,1107.07,1178.98,-1178.98,10.258,2.70572303969439,-323.212279769892,323.212279769892,18518.6995176164,0.995693121998733,28.0478093269168,1178.98,1107.07,1.06495524221594,BOUNDARY_LIMITED,0.229000000000001,NORMAL,GOOD
76,76,76,4,44,527,876.047741935484,876.94,14.7926194224736,12.0961445748556,3.9917760910816,24.9897571616296,-10.49,10.479,-2028.07,1891.97,2028.07,-2028.07,10.458,2.31502223328527,-459.128735830588,459.128735830588,26306.1388162696,0.998626818577234,179.087228671442,2028.07,1891.97,1.07193560151588,BOUNDARY_LIMITED,0.020999999999999,NORMAL,GOOD
77,77,77,4,43,526,666.684144486692,667.88,15.6295797807825,12.1025471861066,3.99177186311787,24.9897655675645,-10.456,10.483,-1593.49,1458.24,1593.49,-1593.49,10.112,2.39017233749708,-391.965956789142,391.965956789142,22457.995036825,0.998407253335819,113.620745670597,1593.49,1458.24,1.09274879306561,BOUNDARY_LIMITED,0.371,NORMAL,GOOD
78,78,78,4,41,526,216.505076045627,216.87,18.5525109350246,12.1192761586319,3.99122243346008,24.9894938653322,-10.491,10.466,-614.3,594.6,614.3,-614.3,7.672,2.83734687065969,-186.412900267782,186.412900267782,10680.6724321371,0.991427631025382,15.0964238465221,614.3,594.6,1.03313151698621,RESOLVED,2.794,LOW_LOAD,GOOD
79,79,79,4,45,526,1102.59737642585,1100.695,19.0977969200373,12.1057154058909,3.99199809885932,24.9923762716232,-10.485,10.444,-2457.49,2366.55,2457.49,-2457.49,10.365,2.2288190163903,-515.255409053741,515.255409053741,29521.9603100662,0.998775043428951,245.472724785397,2457.49,2366.55,1.03842724641356,BOUNDARY_LIMITED,0.0790000000000006,NORMAL,GOOD
80,80,80,4,42,525,443.339752380952,444.22,17.9602429825435,12.1001945705335,3.99210285714286,24.988318221586,-10.493,10.442,-1121.98,1044.78,1121.98,-1121.98,10.442,2.53074531208721,-303.040641863842,303.040641863842,17362.9497997336,0.99650229606006,57.2785276918586,1121.98,1044.78,1.07389115411857,BOUNDARY_LIMITED,0,NORMAL,GOOD
