ConditionID,Samples,R2,RMSE_N,MAE_N
11,7500,0.997429180519891,82.674008394723,66.7635624068414
12,6249,0.997383226345846,76.4532260078333,60.9778865065905
13,6251,0.997542007804892,71.0224966069384,55.7527005740619
21,7497,0.99755904692861,83.542416308716,58.8428490809633
22,6247,0.998272665785941,63.3807939193066,43.9998008256526
23,6243,0.996923502462229,80.9822585906037,58.8508771867502
31,27486,0.996550450961959,87.5704694775601,65.7566731688201
32,12494,0.997226137669783,75.7053052653112,56.1891638396096
33,12494,0.996314350441756,84.5751953150493,60.8474359346496
41,7494,0.997774952878005,72.4304045503588,54.4689710089869
42,6245,0.998054177071878,61.6051629723826,45.4835932559009
43,6248,0.996995730573806,74.1892755827179,52.752289613656
