Pressure_psi,MuPeak,Calpha_N_per_deg
8.1,2.64878195762683,32795.2287780896
10.1,2.58498931914561,31682.8836513256
12.1,2.49950086185424,30570.0928599489
14.1,2.39232210368736,29456.860271706
