Fz_N,MuPeak,Calpha_N_per_deg
210,2.84083173467645,10684.8040526687
432,2.7262824266458,20181.7425730189
656,2.61069614289059,26860.0007539389
875,2.49769518170522,30611.3658162275
1096,2.38365979096007,32241.4386808077
