Parameter,Value
PCY1,1.66991930024369
PDY1,2.4260512241833
PDY2,-0.503692308289416
PDY3,12.0752062848452
PEY1,0.303957817394235
PEY2,-0.376619361330235
PKY1,37.343314175556
PKY2,1.42643555341679
PKY3,19.9999999999914
PHY1,-0.00198672211043907
PHY2,-0.00421229710652272
PHY3,-0.118095081827222
PVY1,0.0734518162239891
PVY2,0.054003458915228
PVY3,0.161945195795364
PVY4,-0.676994156815221
P_MU_1,-0.0198539414729402
P_MU_2,-0.00111773174211825
P_K_1,-0.0182015784764758
