Parameter,Value
PCY1,1.71226629321633
PDY1,2.36252710587367
PDY2,-0.537220701783154
PDY3,8.99685230843915
PEY1,0.330545883903951
PEY2,-0.421631802414971
PKY1,36.8069299734743
PKY2,1.41065346951554
PKY3,19.1881603277888
PHY1,-0.00103137397578402
PHY2,-0.00331539030212312
PHY3,-0.129917960178475
PVY1,0.0599960347624132
PVY2,0.0432452193974165
PVY3,0.236556326145692
PVY4,-0.668256713935323
P_MU_1,-0.0176334317501189
P_MU_2,0.000790712201051164
P_K_1,-0.0188640248579902
