Pressure_psi,Camber_deg,Fz_N,Measured_Fy_peak_N,MF_Fy_peak_N,Fy_error_pct,Measured_mu,MF_mu,mu_error_pct,Measured_peak_SA_deg,MF_peak_SA_deg,Peak_SA_error_deg,Measured_Calpha_N_per_deg,MF_Calpha_N_per_deg,Calpha_error_pct
14.0686605601738,4,668.97,2000.93,1616.21771385647,-19.2266739038115,2.28031734943003,2.41597936208868,5.94926020681116,8,10.43,2.43,NaN,-402.209069667829,NaN
14.1049199946073,-0,678.705,2137.23,1664.1593923075,-22.1347542235743,2.36429590335666,2.45196277072882,3.70794819919516,9.4,9.42,0.0199999999999996,NaN,-455.832619318757,NaN
14.1049199946073,2,660.63,1990.93,1630.81257415595,-18.0878999183319,2.41965496615278,2.46857177868997,2.02164412783885,9.6,9.76,0.16,NaN,-436.221297232728,NaN
14.1049199946073,4,667.42,2164.65,1612.29854307071,-25.5168945062385,2.34316965959042,2.41571805320594,3.09616477486312,10.8,10.43,-0.370000000000001,NaN,-401.416521103408,NaN
14.1411794290407,-0,679.415,2318.37,1664.75417481069,-28.1929038587156,2.33263442363247,2.4502758620441,5.04328656131368,8.8,9.42,0.619999999999999,NaN,-455.762057957293,NaN
14.1411794290407,2,654.81,1973.87,1617.9221052606,-18.0329958274558,2.4196025095424,2.47082681275576,2.11705447532567,9.8,9.75,-0.0500000000000007,NaN,-433.784947055739,NaN
14.1411794290407,4,661.365,1920.91,1599.46639349762,-16.7339233229239,2.29750052480289,2.41843217209502,5.26361783105593,9.4,10.42,1.02,NaN,-399.125475946227,NaN
14.1774388634741,0,690.63,2569.02,1687.10932606627,-34.3286807394933,2.34172510407053,2.44285554648114,4.31862998072733,9.2,9.45,0.250000000000002,NaN,-459.375167395881,NaN
14.1774388634741,2,660.27,1995.07,1628.34527679993,-18.3815466725511,2.36270844324151,2.46618092113822,4.37940102989407,7.8,9.77,1.97,NaN,-435.472235416059,NaN
14.1774388634741,4,663.85,2262.47,1603.54113947313,-29.1243137158448,2.34952322584134,2.41551726967406,2.80882704656344,12,10.43,-1.57,NaN,-399.671696575382,NaN
14.2136982979076,-0,677.615,2447.93,1659.26044953152,-32.2178146625305,2.31456866735505,2.44867727180112,5.79410783259769,8,9.42,1.42,NaN,-454.470968176756,NaN
14.2136982979076,2,664.595,1994.33,1636.39163391608,-17.9478003180976,2.34524215172375,2.46223885812575,4.98868342085736,7.8,9.78,1.98,NaN,-436.722428513852,NaN
14.2136982979076,4,663.83,2206.53,1602.65814086901,-27.36748918578,2.13947589646685,2.41425988712322,12.8435188781586,6.2,10.43,4.23,NaN,-399.383310591875,NaN
