Pressure_psi,N,RawMu,RobustMu,RobustPeakSA_deg,Boundary,MF_mu
8.1,1251,2.65037915502594,2.57382975084098,10.844,0,2.67280426938818
10.1,1250,2.66981500229056,2.58166537528349,11.233,0,2.60126748340644
12.1,4997,2.5959119317208,2.35607783097015,12.248,1,2.51274301294186
14.1,1249,2.46695820081781,2.40641753748296,11.7335,0,2.40721439040753
