Camber_deg,N,RawMu,RobustMu,RobustPeakSA_deg,Boundary,MF_mu
0,4997,2.5959119317208,2.35607783097015,12.248,1,2.51274301294186
2,2500,2.60068212511731,2.54931673037746,12.2045,1,2.49327417167185
4,2499,2.55177035884271,2.47209569138846,12.202,1,2.39994471202158
