Fz_N,N,RawMu,RobustMu,RobustPeakSA_deg,Boundary,MF_mu
210,4860,3.30666602562562,2.95194596023943,11.834,0,2.87736835956025
432,4817,2.84511932594153,2.64345732737668,12.2075,1,2.75167881649841
656,4811,2.67516962720134,2.55366318517954,12.246,1,2.62145761567131
875,4646,2.5939114401676,2.35426216313413,12.248,1,2.51079643132195
1096,6276,2.52990744829533,2.31251792534861,12.223,1,2.38754364527293
