Parameter,ParameterIndex,MaxAbsDeltaR2,MaxAbsDeltaRMSE_N,MaxAbsDeltaCalpha_N_per_deg,MaxAbsDeltaPeakMu,MaxAbsDeltaPeakSA_deg,LocalSlope_R2_per_pct,LocalSlope_Calpha_N_per_deg_per_pct,LocalSlope_PeakMu_per_pct
PDY1,2,0.00680336206053267,66.8284317243731,0.0901924476863769,0.24415894477147,0.859999999999999,-1.05254701165958e-06,0.00772955622317113,0.0242181153216515
PKY1,7,0.0012444225727074,15.8181973212631,54.4472235860347,0.00626691480286423,0.75,4.10278600398994e-06,5.44359822628628,0.000232135610952033
PCY1,1,0.000291613789568657,3.97830913478742,0.0477015066983313,0.017806766605676,1.47,-2.89181631303315e-06,0.00408792027074014,0.000563429807381555
PKY2,8,0.000286536924449687,3.91068470972972,19.0212984707293,0.00119088314923976,0,1.4922947105267e-05,-1.79840615883364,-7.04247466523977e-05
