Convention,R2,RMSE_N,MAE_N
FY+ / SA+,-2.96891537459419,2856.58614705417,2482.13171566707
FY- / SA+,0.997335943958122,74.0087526365632,54.8749968525031
FY+ / SA-,0.991758402092248,130.171862093529,89.8752966357376
FY- / SA-,-2.96180907802252,2854.02765925762,2480.16491806086
