FZ_Target_N,ConditionID,FZ_Mean_N,Pressure_Mean_psi,IA_Mean_deg,Speed_Mean_mph,MuY_Mean,PeakFY_Mean_N,CorneringStiffness_Mean_N_per_deg
200,31,206.225133079848,12.099621615009,-0.000508555133079848,24.9881885133029,3.2305070398693,666.195,207.26578596124
450,32,428.227994296578,12.0965953998538,-0.00113878326996198,24.988631506073,2.76526028199119,1184.175,333.872281745989
650,33,649.987119771863,12.1003468036976,-0.00261406844106464,24.9893521076457,2.55496805618382,1660.9,435.857708595818
850,34,871.529246163447,12.0886543166089,-0.00314129587809612,24.9899560684656,2.42731693153479,2115.685,519.497564584185
1100,35,1085.7070260496,12.0915698418751,-0.00102198396836964,24.9896071437111,2.3523076534649,2554.0475,576.051470062817
