ConditionID,RepeatCount,PeakFY_Mean_N,PeakFY_Std_N,PeakFY_CV_pct,CorneringStiffness_Mean_N_per_deg,CorneringStiffness_Std_N_per_deg,CorneringStiffness_CV_pct
5,2,2673.285,16.8079281888042,0.628736860783801,525.327322410264,11.5323170501409,2.19526313560643
20,2,2756.46,31.0844141009607,1.12769327691897,589.43848479657,9.06840008225507,1.53848116744274
31,2,666.195,1.76069588515451,0.264291368916685,207.26578596124,7.88236266223703,3.80302162543657
32,2,1184.175,23.7941431869274,2.00934348275613,333.872281745989,17.4769370845708,5.23461755889854
33,2,1660.9,91.0753534168273,5.48349409457687,435.857708595818,20.3834686549029,4.67663373915569
34,2,2115.685,137.4827714661,6.49826280689708,519.497564584185,22.3759543112078,4.30722987683646
35,4,2554.0475,112.355035898115,4.39909735030828,576.051470062817,21.7425260674964,3.77440683644561
36,2,674.2,25.3285649021022,3.75683252775173,209.622626998673,2.87960109198434,1.37370718667816
37,2,1195.17,22.8961175748203,1.91572057320886,334.02948929426,15.2978444163922,4.57978858355099
38,2,1680.21,63.1163512887112,3.75645611493273,436.182786132952,22.523866337528,5.16385952256781
39,2,2114.025,121.982990822491,5.77017730738716,510.746802538016,31.0084649165909,6.07120098696709
40,2,2562.16,128.014611666013,4.9963550935934,564.216688264642,30.8500814364112,5.46777188234127
41,2,627.865,19.183806973591,3.0554031477453,184.596748236919,2.56842683337795,1.39137165627724
42,2,1147.295,35.8008163314748,3.12045431484272,307.365479544287,6.11624410274772,1.98989298076541
43,2,1643.395,70.5763278302293,4.29454439317567,404.4856873335,17.7055727330886,4.37730512785493
44,2,2096.305,96.4988624285282,4.60328351210955,474.399734839121,21.5964539088548,4.55237478498563
45,2,2537.78,113.547206922936,4.47427306239848,531.687388309691,23.2383279203976,4.37067503035488
50,2,2581.555,18.0807203949401,0.700380987232119,579.133829401771,6.18441698152528,1.06787354969638
