ConditionID,FZ_Mean_N,PeakFY_Mean_N,MuY_Mean,CorneringStiffness_Mean_N_per_deg,PeakSlipAngle_Mean_deg,ForcePerLoad
1,204.059125475285,753.31,3.69162613161957,227.075902014176,7.524,3.69162613161957
2,425.416711026616,1279.93,3.00865002907683,355.314729040545,9.643,3.00865002907683
3,647.314600760456,1761.31,2.72094897586249,444.399089243717,NaN,2.72094897586249
4,869.325475285171,2255.84,2.59493143147565,498.449432419173,NaN,2.59493143147565
5,1085.68614638423,2673.285,2.46229001315535,525.327322410264,NaN,2.46230000161937
6,211.230608365019,740.6,3.50612065993864,228.095947379884,7.667,3.50612065993864
7,436.140285171103,1271.91,2.9162864409579,352.180580906229,9.639,2.9162864409579
8,659.33220952381,1769.99,2.68451923693875,438.922211673424,NaN,2.68451923693875
9,868.869239543726,2232.25,2.56914377722962,488.230663392833,NaN,2.56914377722962
10,1092.90057034221,2655.26,2.42955312866988,509.8974030335,NaN,2.42955312866988
11,216.718288973384,636.09,2.93510069230069,194.271377172209,7.841,2.93510069230069
12,443.380910815939,1190.87,2.68588468955166,320.729020757557,9.677,2.68588468955166
13,667.303783269962,1711.7,2.56509859963962,407.522371665928,8.87,2.56509859963962
14,876.663847619048,2178.52,2.48501179319382,459.733458459126,NaN,2.48501179319382
15,1099.84666666667,2601.79,2.36559338574468,486.198231669898,NaN,2.36559338574468
16,205.723060836502,681.54,3.31290034879295,224.007042413318,8.463,3.31290034879295
17,428.514440227704,1261.88,2.94477824208086,367.596963553127,NaN,2.94477824208086
18,650.806235741445,1797.26,2.7615900114301,478.308687754673,NaN,2.7615900114301
19,873.196520912547,2276.21,2.60675569071349,554.665602864297,NaN,2.60675569071349
20,1089.19827946768,2756.46,2.53069693716331,589.43848479657,NaN,2.53072379195012
21,214.336863117871,686.63,3.20350867327194,220.607533300106,9.359,3.20350867327194
22,437.653307984791,1252.03,2.86078038748312,355.647560808143,NaN,2.86078038748312
23,661.507870722433,1794.8,2.71319523082907,463.007822084573,NaN,2.71319523082907
24,871.928003802281,2265.81,2.5986205169685,530.796832651652,NaN,2.5986205169685
25,1097.78279467681,2712.87,2.47122656062276,565.092114284384,NaN,2.47122656062276
26,219.886723809524,621.66,2.82718296598257,185.06328150007,NaN,2.82718296598257
27,446.741064638783,1174.39,2.62879348454247,317.659767617178,8.244,2.62879348454247
28,669.600872865275,1692.15,2.52710244053171,417.85060849149,8.434,2.52710244053171
29,880.65660341556,2210.84,2.51044503774278,486.910303455118,NaN,2.51044503774278
30,1104.84355513308,2654.96,2.40301895020803,531.159021453519,NaN,2.40301895020803
31,206.225133079848,666.195,3.2305070398693,207.26578596124,8.728,3.23042584601973
32,428.227994296578,1184.175,2.76526028199119,333.872281745989,NaN,2.76529095662036
33,649.987119771863,1660.9,2.55496805618382,435.857708595818,NaN,2.55528140401144
34,871.529246163447,2115.685,2.42731693153479,519.497564584185,NaN,2.42755479441848
35,1085.7070260496,2554.0475,2.3523076534649,576.051470062817,NaN,2.35242790064005
36,213.272457740359,674.2,3.16065824755719,209.622626998673,7.897,3.16121456630271
37,436.637504743833,1195.17,2.73714842638906,334.02948929426,NaN,2.73721333374966
38,660.902642585551,1680.21,2.54211296449018,436.182786132952,NaN,2.54229578115585
39,869.594580662683,2114.025,2.43073190577687,510.746802538016,NaN,2.4310466589948
40,1097.07326045627,2562.16,2.33531255867763,564.216688264642,NaN,2.33545023140423
41,218.491254752852,627.865,2.87331210272922,184.596748236919,7.792,2.87363904203038
42,444.692357179069,1147.295,2.57982534574798,307.365479544287,NaN,2.57997463072658
43,668.890922053232,1643.395,2.45667594990811,404.4856873335,NaN,2.4568953559056
44,878.818652336563,2096.305,2.38514588654528,474.399734839121,NaN,2.38536698604022
45,1105.00774893399,2537.78,2.296469811033,531.687388309691,NaN,2.29661737888102
46,209.329410646388,649.78,3.10410275361473,199.888614558877,9.196,3.10410275361473
47,428.457186311787,1147.93,2.67921751968155,317.36653357766,NaN,2.67921751968155
48,649.047104761905,1640.51,2.52756693306844,418.92123417071,NaN,2.52756693306844
49,870.213346007605,2121.53,2.43794238474189,510.913475608055,NaN,2.43794238474189
50,1085.99216044617,2581.555,2.37712586255112,579.133829401771,NaN,2.37713962772934
51,211.675817490494,645.44,3.04919101129247,197.802638758042,7.651,3.04919101129247
52,436.993288973384,1176.28,2.69175758456932,317.770984623605,NaN,2.69175758456932
53,659.623840304183,1662.49,2.52036069410916,422.140592380899,NaN,2.52036069410916
54,870.626254752852,2120.83,2.43598213173809,502.505639473205,NaN,2.43598213173809
55,1095.77268060836,2580.42,2.35488623294329,570.05718475654,NaN,2.35488623294329
56,217.75108365019,612.13,2.81114559679237,178.017996530313,8.147,2.81114559679237
57,443.993117870722,1131.88,2.54931879446287,297.730878250966,NaN,2.54931879446287
58,668.832585551331,1638.55,2.44986568447366,394.542700471169,NaN,2.44986568447366
59,878.750209125475,2097.33,2.38671920441105,470.035488072188,NaN,2.38671920441105
60,1106.31435361217,2522.39,2.27999392014058,534.695020278356,NaN,2.27999392014058
