ConditionID,Pressure_psi,Camber_deg,FZ_N,PeakFY_N,Mu_y,PeakSA_deg,PeakFY_Pos_N,PeakFY_Neg_N,PeakSA_Pos_deg,PeakSA_Neg_deg,Mu_Pos,Mu_Neg,CAlpha_NperDeg,Samples
11,8.100355545,0,447.9,1258.51476190476,2.80981192655674,10.399,1258.51476190476,1221.63523809524,10.399,-10.528,2.80981192655674,2.97923482037614,351.977478646455,1229
11,8.100355545,0,671.11,1786.67619047619,2.66227025446825,10.323,1786.67619047619,1721.62571428571,10.323,-9.848,2.66227025446825,2.64053023663453,438.994658059724,1248
11,8.100355545,0,894.82,2306.9819047619,2.5781519241433,9.844,2306.9819047619,2185.78666666667,9.844,-9.202,2.5781519241433,2.52820702631011,498.995961077868,987
11,8.100355545,0,900.48,2296.01333333333,2.54976605069889,10.774,2296.01333333333,2022.37047619048,10.774,-7.174,2.54976605069889,2.24316522975529,489.273109707229,264
11,8.100355545,0,1047.07,2761.74857142857,2.63759688600435,10.777,2761.74857142857,2609.40619047619,10.777,-9.774,2.63759688600435,2.44321847013744,533.115877910088,1489
11,8.100355545,0,1102.5,2758.5680952381,2.50210258071483,10.579,2758.5680952381,2536.17619047619,10.579,-11.188,2.50210258071483,2.30124235813426,515.739289077921,1011
12,8.100355545,2,440.11,1253.59666666667,2.8483712405232,8.067,1253.59666666667,1174.81952380952,8.067,-6.581,2.8483712405232,2.6253536923943,341.438026024723,1230
12,8.100355545,2,668.26,1811.65285714286,2.7109999957245,10.044,1811.65285714286,1688.0419047619,10.044,-9.125,2.7109999957245,2.52413706675325,431.541782120593,1249
12,8.100355545,2,878.14,2309.34333333333,2.62981225468984,9.628,2309.34333333333,2147.3719047619,9.628,-9.473,2.62981225468984,2.45582331285671,488.904534363243,1063
12,8.100355545,2,902.34,2160.08952380952,2.3938753948728,7.759,2160.08952380952,1981.5780952381,7.759,-7.035,2.3938753948728,2.19667667528168,467.824538806768,186
12,8.100355545,2,1053.49,2765.95095238095,2.62551229948168,10.392,2765.95095238095,2518.53666666667,10.392,-10.146,2.62551229948168,2.34334797226047,516.887994103664,672
12,8.100355545,2,1105.29,2763.45,2.50020356648481,10.256,2763.45,2500.62,10.256,-12.094,2.50020356648481,2.26795091557152,498.739279968199,578
13,8.100355545,4,423.91,1165.55714285714,2.74953915420052,8.513,1165.55714285714,1086.80285714286,8.513,-7.18,2.74953915420052,2.46625106574729,304.243244655918,1226
13,8.100355545,4,658.2,1730.14904761905,2.62860687878919,10.377,1730.14904761905,1597.87047619048,10.377,-8.457,2.62860687878919,2.38919612462877,399.02473935287,1241
13,8.100355545,4,868.35,2252.54,2.5940461795359,9.818,2252.54,2075.54761904762,9.818,-9.652,2.5940461795359,2.35357549190654,463.101784246181,974
13,8.100355545,4,900.52,2085.10571428571,2.31544631355852,7.508,2085.10571428571,1994.40666666667,7.508,-11.296,2.31544631355852,2.21470319330468,444.595215267787,256
13,8.100355545,4,1097.23,2697.47619047619,2.45844188590924,10.044,2697.47619047619,2431.80571428571,10.044,-10.21,2.45844188590924,2.23723351544727,493.510748636893,602
13,8.100355545,4,1105.43,2697.80428571429,2.44050214460824,10.014,2697.80428571429,2426.78142857143,10.014,-11.464,2.44050214460824,2.1955663375627,478.984600488616,647
21,10.103326182,0,431.01,1245.87380952381,2.8905914236881,11.742,1245.87380952381,1173.52952380952,11.742,-11.608,2.8905914236881,2.77476065497724,369.689496822343,1237
21,10.103326182,0,659.13,1802.70238095238,2.73497243480403,10.507,1802.70238095238,1709.73333333333,10.507,-10.491,2.73497243480403,2.67488553041918,478.999443612889,1240
21,10.103326182,0,884.82,2346.52761904762,2.65198302371965,9.712,2346.52761904762,2233.19761904762,9.712,-10.064,2.65198302371965,2.58783445240523,559.286324836029,986
21,10.103326182,0,900.56,2277.92666666667,2.52945574605431,11.593,2277.92666666667,2119.64476190476,11.593,-7.525,2.52945574605431,2.34798644353892,551.798543584428,264
21,10.103326182,0,1086.31,2867.8819047619,2.64002163725079,10.217,2867.8819047619,2735.9019047619,10.217,-9.816,2.64002163725079,2.53298451524558,596.406238628846,1229
