SweepID,RunNumber,FileName,RegionID,StartTime_s,EndTime_s,Duration_s,SampleCount,Pressure_psi,FZ_N,IA_deg,Speed_mph,SA_Min_deg,SA_Max_deg,FY_Min_N,FY_Max_N,Direction,SweepType
37,2,B1965run2.mat,37,1627.873,1639.862,11.989,1200,14,1160,0,25,-12.16,12.18,-2647.38,2454.14,POS_TO_NEG,MAIN_CORNERING_PART_1
38,2,B1965run2.mat,38,1661.641,1673.64,11.999,1201,14,470,0,25,-12.082,12.124,-1163.24,1085.83,POS_TO_NEG,MAIN_CORNERING_PART_1
39,2,B1965run2.mat,39,1695.458,1707.457,11.999,1201,14,873.99,2,25,-12.111,12.197,-2171.78,1990.05,POS_TO_NEG,MAIN_CORNERING_PART_1
40,2,B1965run2.mat,40,1729.246,1741.245,11.9989999999998,1201,14,670,2,25,-12.084,12.167,-1699.58,1544.84,POS_TO_NEG,MAIN_CORNERING_PART_1
41,2,B1965run2.mat,41,1763.023,1775.022,11.999,1201,14,220,2,25,-12.01,12.098,-642.93,645.44,POS_TO_NEG,MAIN_CORNERING_PART_1
42,2,B1965run2.mat,42,1796.861,1808.85,11.9889999999998,1200,14,1160,2,25,-12.151,12.192,-2663.03,2432.59,POS_TO_NEG,MAIN_CORNERING_PART_1
43,2,B1965run2.mat,43,1830.628,1842.627,11.999,1201,14,470,2,25,-12.069,12.126,-1193.13,1136.49,POS_TO_NEG,MAIN_CORNERING_PART_1
44,2,B1965run2.mat,44,1864.446,1876.445,11.999,1201,14,879.4,4,25,-12.112,12.169,-2164.98,1941.44,POS_TO_NEG,MAIN_CORNERING_PART_1
45,2,B1965run2.mat,45,1898.233,1910.233,12,1201,14,670,4,25,-12.087,12.148,-1680.83,1512.33,POS_TO_NEG,MAIN_CORNERING_PART_1
46,2,B1965run2.mat,46,1932.001,1944,11.999,1201,14,220,4,25,-11.992,12.119,-604.23,612.13,POS_TO_NEG,MAIN_CORNERING_PART_1
47,2,B1965run2.mat,47,1965.839,1977.838,11.999,1201,14,1160,4,25,-12.131,12.179,-2624.83,2367.88,POS_TO_NEG,MAIN_CORNERING_PART_1
48,2,B1965run2.mat,48,1999.606,2011.605,11.999,1201,14,470,4,25,-12.029,12.145,-1150.96,1066.9,POS_TO_NEG,MAIN_CORNERING_PART_1
49,4,B1965run4.mat,1,109.22,121.24,12.02,1203,8,1160,0,25,-12.158,12.199,-2746.22,2592.11,POS_TO_NEG,MAIN_CORNERING_PART_2
50,4,B1965run4.mat,2,143.03,155.03,12,1201,8,875.24,0,25,-12.163,12.206,-2324.25,2219.58,POS_TO_NEG,MAIN_CORNERING_PART_2
51,4,B1965run4.mat,3,176.82,188.83,12.01,1202,8,670,0,25,-12.145,12.199,-1802.38,1744.77,POS_TO_NEG,MAIN_CORNERING_PART_2
52,4,B1965run4.mat,4,210.61,222.61,12,1201,8,260,0,25,-12.067,12.102,-753.31,706.98,POS_TO_NEG,MAIN_CORNERING_PART_2
53,4,B1965run4.mat,5,244.43,256.45,12.02,1203,8,1160,0,25,-12.178,12.203,-2777.4,2629.33,POS_TO_NEG,MAIN_CORNERING_PART_2
54,4,B1965run4.mat,6,278.23,290.22,11.99,1200,8,470,0,25,-12.118,12.184,-1283.85,1241.91,POS_TO_NEG,MAIN_CORNERING_PART_2
55,4,B1965run4.mat,7,312.04,324.05,12.01,1202,8,871.915,2,25,-12.201,12.182,-2322.75,2177.69,POS_TO_NEG,MAIN_CORNERING_PART_2
56,4,B1965run4.mat,8,345.84,357.83,11.99,1200,8,670,2,25,-12.175,12.184,-1819.7,1712.18,POS_TO_NEG,MAIN_CORNERING_PART_2
57,4,B1965run4.mat,9,379.61,391.6,11.99,1200,8,260,2,25,-12.033,12.136,-740.6,692.95,POS_TO_NEG,MAIN_CORNERING_PART_2
58,4,B1965run4.mat,10,413.44,425.44,12,1201,8,1160,2,25,-12.206,12.176,-2777.54,2541.52,POS_TO_NEG,MAIN_CORNERING_PART_2
59,4,B1965run4.mat,11,447.22,459.22,12,1201,8,470,2,25,-12.11,12.182,-1271.91,1188,POS_TO_NEG,MAIN_CORNERING_PART_2
60,4,B1965run4.mat,12,481.05,493.05,12,1201,8,670,4,25,-12.216,12.147,-2260.33,2093.48,POS_TO_NEG,MAIN_CORNERING_PART_2
61,4,B1965run4.mat,13,514.839,526.839,12,1201,8,670,4,25,-12.169,12.14,-1745.94,1619.37,POS_TO_NEG,MAIN_CORNERING_PART_2
62,4,B1965run4.mat,14,548.579,560.588,12.009,1202,8,260,4,25,-11.982,12.126,-636.09,598.15,POS_TO_NEG,MAIN_CORNERING_PART_2
63,4,B1965run4.mat,15,582.438,594.447,12.009,1202,8,1160,4,25,-12.207,12.169,-2709.19,2459.35,POS_TO_NEG,MAIN_CORNERING_PART_2
64,4,B1965run4.mat,16,616.207,628.217,12.01,1202,8,470,4,25,-12.078,12.157,-1190.87,1098.41,POS_TO_NEG,MAIN_CORNERING_PART_2
65,4,B1965run4.mat,17,721.424,733.424,12,1201,12,1160,0,25,-12.157,12.176,-2619.64,2433.04,POS_TO_NEG,RUN4_12PSI_OR_REPEAT
66,4,B1965run4.mat,18,755.223,767.223,12,1201,12,877.76,0,25,-12.116,12.183,-2101.26,1990.93,POS_TO_NEG,RUN4_12PSI_OR_REPEAT
67,4,B1965run4.mat,19,789.013,801.012,11.9989999999999,1201,12,670,0,25,-12.094,12.163,-1638.23,1548.78,POS_TO_NEG,RUN4_12PSI_OR_REPEAT
68,4,B1965run4.mat,20,822.802,834.792,11.99,1200,12,260,0,25,-12.034,12.108,-677.45,613.66,POS_TO_NEG,RUN4_12PSI_OR_REPEAT
69,4,B1965run4.mat,21,856.611,868.611,12,1201,12,1160,0,25,-12.126,12.175,-2522.78,2413.09,POS_TO_NEG,RUN4_12PSI_OR_REPEAT
70,4,B1965run4.mat,22,890.41,902.41,12,1201,12,470,0,25,-12.087,12.136,-1186.7,1106.9,POS_TO_NEG,RUN4_12PSI_OR_REPEAT
